text,emotion,emotion_code,processed_text
"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",happiness,0,"Oh well , the woman I interviewed with was pretty tough , but y'know thank God Mark coached me , because once I started talking about the fall line , she got all happy and wouldn’t shut up ."
I’m so proud of you.,happiness,0,I am so proud of you .
Me too!,happiness,0,Me too !
"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",sadness,1,"Listen , I am ah , I am sorry I’ve been so crazy and jealous and , it is just that I like you a lot , so . . ."
I know.,neutral,6,I know .
Yeah.,neutral,6,Yeah .
Ameri-can.,neutral,6,Ameri-can .
Ameri-ccan.,neutral,6,Ameri-ccan .
Ameri-can. Y'know it’s a,neutral,6,Ameri-can . Y'know it is a
Everybody!!,surprise,4,Everybody ! !
Good job Joe! Well done! Top notch!,happiness,0,Good job Joe ! Well done ! Top notch !
You liked it? You really liked it?,surprise,4,You liked it ? You really liked it ?
"Oh-ho-ho, yeah!",happiness,0,"Oh-ho-ho , yeah !"
Which part exactly?,neutral,6,Which part exactly ?
The whole thing! Can we go?,neutral,6,The whole thing ! Can we go ?
"Oh no-no-no, give me some specifics.",anger,2,"Oh no-no-no , give me some specifics ."
"I love the specifics, the specifics were the best part!",happiness,0,"I love the specifics , the specifics were the best part !"
"Hey, what about the scene with the kangaroo? Did-did you like that part?",neutral,6,"Hey , what about the scene with the kangaroo ? Did-did you like that part ?"
I was surprised to see a kangaroo in a World War I epic.,surprise,4,I was surprised to see a kangaroo in a World War I epic .
You fell asleep!!,anger,2,You fell asleep ! !
There was no kangaroo!,anger,2,There was no kangaroo !
They didn’t take any of my suggestions!,anger,2,They didn’t take any of my suggestions !
That’s for coming buddy.,neutral,6,That’s for coming buddy .
I’ll see you later.,neutral,6,I’ll see you later .
Don’t go!,sadness,1,Do not go !
I’m sorry.,sadness,1,I am sorry .
I’m so sorry!,sadness,1,I am so sorry !
Look!,surprise,4,Look !
This guy fell asleep!,anger,2,This guy fell asleep !
He fell asleep too!,anger,2,He fell asleep too !
Be mad at him!,anger,2,Be mad at him !
"Or, call an ambulance.",anger,2,"Or , call an ambulance ."
"Okay, look, I think we have to tell Rachel she messed up her dessert.",neutral,6,"Okay , look , I think we have to tell Rachel she messed up her dessert ."
"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",anger,2,"What ? ! What is with everybody ? It is Thanksgiving , not . . . Truth-Day !"
"Yes, and it is my dying wish to have that ring.",neutral,6,"Yes , and it is my dying wish to have that ring ."
"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",neutral,6,"See , if I am not buried with that ring then my spirit is going to wander the nether world for all eternity"
"Okay, that’s enough honey!",neutral,6,"Okay , that’s enough honey !"
I don’t know.  Let me see the ring.,neutral,6,I do not know . Let me see the ring .
"Great! Okay, here.",happiness,0,"Great ! Okay , here ."
All right.,neutral,6,All right .
Thank you. Thank you. Thank you!  And,happiness,0,Thank you . Thank you . Thank you ! And
What've you been up to?,neutral,6,What've you been up to ?
"Oh, you know, the usual, teaching aerobics, partying way too much.",neutral,6,"Oh , you know , the usual , teaching aerobics , partying way too much ."
"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",neutral,6,"Oh , and in case you were wondering , those are my legs on the new James Bond poster ."
Can you hold on a moment? I have another call.  I love her.,happiness,0,Can you hold on a moment ? I have another call . I love her .
I'm back.,neutral,6,I am back .
"So, are we gonna get together or what?",neutral,6,"So , are we gonna get together or what ?"
"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",neutral,6,"Um , absolutely . Uh , how 'bout tomorrow afternoon ? Do you know uh , Central Perk in the Village , say , five-ish ?"
"Great, I'll see you then.",neutral,6,"Great , I'll see you then ."
Ok.  Ok. Having a phone has finally paid off.,happiness,0,Ok . Ok . Having a phone has finally paid off .
"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",neutral,6,"Even though you do do a good Bob impression , I am thinkin' when she sees you tomorow , she's probably gonna realize , ""Hey , you are not Bob . """
"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",neutral,6,"I am hoping that when Bob doesn't show up , she will seek comfort in the open arms of the wry stranger at the next table ."
Oh my god. You are pure evil.,disgust,5,Oh my god . You are pure evil .
"Ok, pure evil , horny and alone . I've done this",anger,2,"Ok , pure evil , horny and alone . I've done this"
Nobody!,anger,2,Nobody !
Nobody respects the bucket!,anger,2,Nobody respects the bucket !
You wouldn't believe what people put in here!,anger,2,You wouldn't believe what people put in here !
"Okay, does this look like a garbage can to you?",anger,2,"Okay , does this look like a garbage can to you ?"
No.,neutral,6,No .
This is my wedding.,neutral,6,This is my wedding .
"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!",anger,2,"All right , you know what ? We really are late ! Let us go ! Let us go ! Let us go ! !"
Fine. You’ll-you’ll watch it on video when we get back.,neutral,6,Fine . You’ll-you will watch it on video when we get back .
Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,happiness,0,Here you go Phoebe ! Here you go Phobo ! Phewbedo ! Phaybobo .
Thank you.,neutral,6,Thank you .
"All right, let’s go! Bye, Pheebs!",happiness,0,"All right , let us go ! Bye , Pheebs !"
"Bye, Pheebs!",happiness,0,"Bye , Pheebs !"
London baby!!,happiness,0,London baby ! !
"Oh, do you need a hug? You don’t have to bring me anything!",happiness,0,"Oh , do you need a hug ? You do not have to bring me anything !"
Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.,happiness,0,Hey ! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time .
"That’s great, but shouldn’t you be on the toilet right now?",disgust,5,"That’s great , but shouldn’t you be on the toilet right now ?"
What’s wrong with you?,disgust,5,What’s wrong with you ?
Nothing!,neutral,6,Nothing !
"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.",fear,3,"Well , I-I got this blinding pain in my stomach when I was lifting weights before , then I uh passed out and uh , haven’t been able to stand up since ."
"But um, I don’t think it’s anything serious.",neutral,6,"But um , I do not think it is anything serious ."
This sounds like a hernia. You have to—you-you go to the doctor!,surprise,4,This sounds like a hernia . You have to—you-you go to the doctor !
"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",fear,3,"No way ! ‘Kay look , if I have to go to the doctor for anything it is gonna be for this thing sticking out of my stomach !"
That’s a hernia.,disgust,5,That’s a hernia .
Why did I have to start working out again?  Damn you 15s!,anger,2,Why did I have to start working out again ? Damn you 15s !
I love your place! Where is this guy from?,happiness,0,I love your place ! Where is this guy from ?
Uh that’s an eighteenth century Indian artifact from Calcutta.,neutral,6,Uh that’s an eighteenth century Indian artifact from Calcutta .
"Oh wow! So, you’re more than just dinosaurs.",surprise,4,"Oh wow ! So , you are more than just dinosaurs ."
So much more.,neutral,6,So much more .
"Well, well to sum up, we’re having fun, you look young.",neutral,6,"Well , well to sum up , we are having fun , you look young ."
Okay,neutral,6,Okay
But that’s not enough. So… So…here’s a key to my apartment.,neutral,6,But that’s not enough . So… So…here’s a key to my apartment .
Really.,neutral,6,Really .
You don’t think this is too fast.,neutral,6,You do not think this is too fast .
Get Out!,anger,2,Get Out !
"Ross, can I talk to you for a minute?",neutral,6,"Ross , can I talk to you for a minute ?"
"Yes, please!  So, what's going on?",neutral,6,"Yes , please ! So , what's going on ?"
"Uh, well... Joey and I broke up.",sadness,1,"Uh , well . . . Joey and I broke up ."
"Oh my God, wh-what happened?",surprise,4,"Oh my God , wh-what happened ?"
"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",sadness,1,"Joey is a great guy , but we're just . . . so different ! I mean , during your speech he kept laughing at homo erectus !"
I knew that was him!,anger,2,I knew that was him !
"Anyway I just, uh, I think it's for the best.",sadness,1,"Anyway I just , uh , I think it is for the best ."
"Hey, you ok?",neutral,6,"Hey , you ok ?"
I guess.,sadness,1,I guess .
There was hum...  there was another reason that I thought it was time to end it with Joey.,neutral,6,There was hum . . . there was another reason that I thought it was time to end it with Joey .
I started to realize that I was having feelings for someone  else.,neutral,6,I started to realize that I was having feelings for someone else .
"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",neutral,6,"Ok Geller . Last day of the conference , you know what happens to the keynote speaker ."
"Oh, professor Clerk we're kind of in the middle of a conversation, here.",neutral,6,"Oh , professor Clerk we're kind of in the middle of a conversation , here ."
"Yeah, can you guys just throw him in the pool later?",neutral,6,"Yeah , can you guys just throw him in the pool later ?"
Or we could throw you both in,happiness,0,Or we could throw you both in
"Ok, gentlemen!",anger,2,"Ok , gentlemen !"
Please!,anger,2,Please !
Aren't we a little old for this?,anger,2,Aren't we a little old for this ?
"I mean, we're scientists, right?",neutral,6,"I mean , we're scientists , right ?"
We're academics.,anger,2,We're academics .
And most importantly I... you-you will have to catch us first.,happiness,0,And most importantly I . . . you-you will have to catch us first .
"GO, GO, GO!",happiness,0,"GO , GO , GO !"
"Go, go, go!",happiness,0,"Go , go , go !"
"Oh yeah, now everybody wants to be under this hat!",happiness,0,"Oh yeah , now everybody wants to be under this hat !"
Oy!!,disgust,5,Oy ! !
What’s with all this sand?,surprise,4,What’s with all this sand ?
"Oh, yeah, Bob said there might be flood damage.",neutral,6,"Oh , yeah , Bob said there might be flood damage ."
"Yeah, either that, or he has a really big cat.",neutral,6,"Yeah , either that , or he has a really big cat ."
"Okay, see that blind guy right there? I'm gonna bash his head in later.",anger,2,"Okay , see that blind guy right there ? I am gonna bash his head in later ."
"Oh umm, my big scene is coming up. Big scene coming up.",happiness,0,"Oh umm , my big scene is coming up . Big scene coming up ."
"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",neutral,6,"If you said , ""Big lima bean , bubbling up . "" Would she understand the difference ?"
Rach? What are you doing?,neutral,6,Rach ? What are you doing ?
"Oh boy, I just can't watch. It's too scary!",fear,3,"Oh boy , I just can't watch . It is too scary !"
It's a diaper commercial.,neutral,6,It is a diaper commercial .
"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",fear,3,"Oh yeah well , you know me , babies , responsibilities , ahhh ! ! !"
Pizza delivery!,happiness,0,Pizza delivery !
I'll get it! I will get that!,happiness,0,I'll get it ! I will get that !
"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",neutral,6,"Hey , you wanna get something to eat or uh , do you wanna see how long we can throw this ball back and forth ? Huh ?"
"Uhh, the ball thing.",neutral,6,"Uhh , the ball thing ."
Yeah?,neutral,6,Yeah ?
"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",happiness,0,"Hey Ross , wouldn't it be great if we could go two straight hours without dropping it ? !"
"Uhh,",neutral,6,"Uhh ,"
Okay!,happiness,0,Okay !
Uh-oh.,fear,3,Uh-oh .
What?,neutral,6,What ?
I have to pee. And Rachel's in the bathroom!,sadness,1,I have to pee . And Rachel's in the bathroom !
"Man, I didn't think we were gonna make it!",surprise,4,"Man , I didn't think we were gonna make it !"
"I know!  Don't switch hands, okay?",fear,3,"I know ! Do not switch hands , okay ?"
Hey.,neutral,6,Hey .
How did it go with Erin?,neutral,6,How did it go with Erin ?
"Oh, unbelievable! We had the best time!",happiness,0,"Oh , unbelievable ! We had the best time !"
"Yay!! Oh so, you’re not, you’re not mad at us anymore?",happiness,0,"Yay ! ! Oh so , you are not , you are not mad at us anymore ?"
No!,happiness,0,No !
You guys were totally right!,happiness,0,You guys were totally right !
This is so much better than the first time we went out.,happiness,0,This is so much better than the first time we went out .
Y’know?,neutral,6,You know ?
"That was so awkward, we were really nervous.",neutral,6,"That was so awkward , we were really nervous ."
Didn’t you sleep together?,neutral,6,Didn’t you sleep together ?
"Yeah, that really calms me down.",neutral,6,"Yeah , that really calms me down ."
And!,happiness,0,And !
We have so much in common!,happiness,0,We have so much in common !
"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that’s a",happiness,0,"She loves sandwiches , sports , although she is a Met fan , not much of an issue now but if we were ever to have kids , well that’s a"
"Oh my God! Listen to you talkin’ about having kids. Oh my Joey.  Oh, please don’t get married before I do.",surprise,4,"Oh my God ! Listen to you talkin’ about having kids . Oh my Joey . Oh , please do not get married before I do ."
Okay.,neutral,6,Okay .
How does she do that?,surprise,4,How does she do that ?
I cannot sleep in a public place.,neutral,6,I cannot sleep in a public place .
Would you look at her? She is so peaceful.,happiness,0,Would you look at her ? She is so peaceful .
Oh! What what what! ...Hi.,surprise,4,Oh ! What what what ! . . . Hi .
"It's okay, y'know, you just nodded off again.",neutral,6,"It is okay , y'know , you just nodded off again ."
What's going on with you?,surprise,4,What's going on with you ?
I got no sleep last night!,anger,2,I got no sleep last night !
Why?,neutral,6,Why ?
"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",disgust,5,"My grandmother has this new boyfriend , and they are both kind of insecure in bed ."
"Oh, and deaf.",neutral,6,"Oh , and deaf ."
"So they're constantly, like, having to reassure each other that they're having a good time.",neutral,6,"So they are constantly , like , having to reassure each other that they are having a good time ."
You have no idea how loud they are!,disgust,5,You have no idea how loud they are !
"Well, if you want, you can stay with Rachel and me tonight.",neutral,6,"Well , if you want , you can stay with Rachel and me tonight ."
Thanks.,happiness,0,Thanks .
Ew! What is that? Something exploded!,disgust,5,Ew ! What is that ? Something exploded !
"It's just her water breaking. Calm down, will you?",neutral,6,"It is just her water breaking . Calm down , will you ?"
"Water breaking, what do you mean? What's that, water breaking?",surprise,4,"Water breaking , what do you mean ? What's that , water breaking ?"
"Breathe, breathe, breathe.",neutral,6,"Breathe , breathe , breathe ."
"Are you insane? I mean Joey, is going to kill you, he’s actually going to kill you dead.",surprise,4,"Are you insane ? I mean Joey , is going to kill you , he’s actually going to kill you dead ."
Okay! You don’t think I thought of that?,anger,2,Okay ! You do not think I thought of that ?
How can you not know which one?,surprise,4,How can you not know which one ?
I mean that’s unbelievable.,happiness,0,I mean that’s unbelievable .
"I mean, was it Gina?",neutral,6,"I mean , was it Gina ?"
Which one is Gina?,neutral,6,Which one is Gina ?
"Dark, big hair, with the airplane earrings.",neutral,6,"Dark , big hair , with the airplane earrings ."
"No, no, no, that’s Dina.",neutral,6,"No , no , no , that’s Dina ."
"You see you can’t tell which one is which either, dwha!!",surprise,4,"You see you cannot tell which one is which either , dwha ! !"
"I don’t know, you thought ‘See you Saturday’ was funny.",neutral,6,"I do not know , you thought ‘See you Saturday’ was funny ."
"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",neutral,6,"Look honey , Mark is in fashion okay , I like having a friend that I can share this stuff with ."
You guys would never want to go to a lecture with me.,neutral,6,You guys would never want to go to a lecture with me .
Pa-haa!! I would love to go with you.,happiness,0,Pa-haa ! ! I would love to go with you .
Really!?,surprise,4,Really ! ?
"Yeah, hey I-I have clothes, I even pick them out.",neutral,6,"Yeah , hey I-I have clothes , I even pick them out ."
"I mean for, for all you know I could be a fashion..... monger.",neutral,6,"I mean for , for all you know I could be a fashion . . . . . monger ."
"Okay. Honey, I would love for you to go with me.  What?",happiness,0,"Okay . Honey , I would love for you to go with me . What ?"
"What should I wear, now I’m all nervous.",fear,3,"What should I wear , now I am all nervous ."
": I know, we did it!! Hey, that was incredible, huh?!",happiness,0,": I know , we did it ! ! Hey , that was incredible , huh ? !"
"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",happiness,0,"I know , it was amazing ! I mean , we totally nailed it , it was beautiful ."
": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",happiness,0,": Thank you , listen , thanks a lot Tribbiani , . Oh my God , look at the time , I gotta catch the bus to the ball ."
"Oh well, okay, good luck.",happiness,0,"Oh well , okay , good luck ."
: Yeah.,neutral,6,: Yeah .
Unless you wanna practice the Foxtrot again? Or-or the Tango?,neutral,6,Unless you wanna practice the Foxtrot again ? Or-or the Tango ?
": Ahh, thanks but no. You see I-I think I’m ready to dance with girls.",neutral,6,": Ahh , thanks but no . You see I-I think I am ready to dance with girls ."
Go get ‘em Treeger.,neutral,6,Go get ‘em Treeger .
": Right.  Hey, ahh, you wanna come? Marge has a girlfriend.",neutral,6,": Right . Hey , ahh , you wanna come ? Marge has a girlfriend ."
Really?,surprise,4,Really ?
": Yeah, you could dance real good with her, she’s the same size as me.",neutral,6,": Yeah , you could dance real good with her , she’s the same size as me ."
"No, I’m good.",neutral,6,"No , I am good ."
"Oh God, this is so nerve wracking! How-how do you do this?",surprise,4,"Oh God , this is so nerve wracking ! How-how do you do this ?"
"Well, unfortunately, I don't get many callbacks so",neutral,6,"Well , unfortunately , I do not get many callbacks so"
Is it a good sign that they asked us to hang around after the audition?,surprise,4,Is it a good sign that they asked us to hang around after the audition ?
Who knows?,neutral,6,Who knows ?
"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",neutral,6,"Okay uh , we have narrowed it down to Raymond , Ben , Kyle , and Joey . The rest of you , thank you very much ."
Yes!! I knew it!!  Bye-bye! So long! Later!,happiness,0,Yes ! ! I knew it ! ! Bye-bye ! So long ! Later !
Oh this is great! I might actually get to play Ben's dad!,happiness,0,Oh this is great ! I might actually get to play Ben's dad !
Yeah!,happiness,0,Yeah !
"Actually, that can't happen.",neutral,6,"Actually , that can't happen ."
"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.",neutral,6,"Yeah because you all have such different looks , we're putting you with Raymond and Kyle with Ben ."
So it'll be either you two  or you two.,neutral,6,So it'll be either you two or you two .
"Man, this is gonna be kinda weird.",sadness,1,"Man , this is gonna be kinda weird ."
"Yeah, it is.",neutral,6,"Yeah , it is ."
"No, we-we're gonna be like best friends, that's why it's gonna be weird.",neutral,6,"No , we-we're gonna be like best friends , that's why it is gonna be weird ."
"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",sadness,1,"Okay , come on , I can't get married until I get something old , something new , something borrowed , and something blue ."
"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.",happiness,0,"Okay , all right , all right , all right ! Okay ! Okay , here's something , here's something blue and new ."
Are you kidding?,anger,2,Are you kidding ?
"I-I hurt three huge men, I gave a guy a bloody nose—I mean I-I’m not proud of it but, I really am.",anger,2,"I-I hurt three huge men , I gave a guy a bloody nose—I mean I-I am not proud of it but , I really am ."
"And it’s all because of you, wonderful, amazing you.",happiness,0,"And it is all because of you , wonderful , amazing you ."
I think you’ve got concussion.,fear,3,I think you’ve got concussion .
"No, no, I’m serious. Thank you.",happiness,0,"No , no , I am serious . Thank you ."
You’re welcome.  I’m sorry. Did I hurt you?,fear,3,You are welcome . I am sorry . Did I hurt you ?
"It’s worth the pain.  Y’know what, you know what? It’s not.",sadness,1,"It is worth the pain . You know what , you know what ? It is not ."
Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.,surprise,4,Wow ! That Mike thing was interesting ! I do not know what's gonna happen with Phoebe and David .
"I do! Want a hint? huh? ""I do""  ""I do"".",happiness,0,"I do ! Want a hint ? huh ? ""I do"" ""I do"" ."
"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.",neutral,6,"Ok , I am sensing that this is some kind of word play , because you are pink with barely controlled glee ."
David is going to propose to Phoebe.,happiness,0,David is going to propose to Phoebe .
What?  Why?,surprise,4,What ? Why ?
"Chandler, we have talked about this.",anger,2,"Chandler , we have talked about this ."
You are not supposed to give people advice!,anger,2,You are not supposed to give people advice !
Now couldn't you just have made some sort of inappropriate joke?,anger,2,Now couldn't you just have made some sort of inappropriate joke ?
I,neutral,6,I
They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,anger,2,They've only been going out for a few weeks and Phoebe is completely hung up on Mike !
"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",anger,2,"She'll say ""No"" , David's heart will be broken , it will be too hard for them to recover from and then Phoebe will end up alone"
"Man, that's some",surprise,4,"Man , that's some"
"Oh, that's not what you want...",neutral,6,"Oh , that's not what you want . . ."
"This is my father, Paul Stevens. Dad, this is Ross Geller.",neutral,6,"This is my father , Paul Stevens . Dad , this is Ross Geller ."
It-it’s great to meet you Paul.,happiness,0,It-it is great to meet you Paul .
I usually prefer Elizabeth’s boyfriends to address me as Mr. Stevens.,neutral,6,I usually prefer Elizabeth’s boyfriends to address me as Mr . Stevens .
"Of course, of course, Mr. Stevens.",neutral,6,"Of course , of course , Mr . Stevens ."
"So Ross, what your problem?",anger,2,"So Ross , what your problem ?"
Eh-wh—Excuse me?,surprise,4,Eh-wh—Excuse me ?
Why can’t you get a girlfriend your own age?,anger,2,Why cannot you get a girlfriend your own age ?
That’s funny. Umm….  It’s not funny.,fear,3,That’s funny . Umm… . It is not funny .
"I can, I can see that.",neutral,6,"I can , I can see that ."
"Umm, but I think if you give me umm, one chance I can, I can change your mind.",fear,3,"Umm , but I think if you give me umm , one chance I can , I can change your mind ."
Okay. I’ll give you one chance to change my mind.  You got one minute.,anger,2,Okay . I’ll give you one chance to change my mind . You got one minute .
Daddy!,surprise,4,Daddy !
"Oh well, it’s not on TV yet.",neutral,6,"Oh well , it is not on TV yet ."
"Well, then it’s not on the wall yet.",neutral,6,"Well , then it is not on the wall yet ."
"Okay, fine, I will bring you a tape, huh?",neutral,6,"Okay , fine , I will bring you a tape , huh ?"
"So umm, now do you have any of Matt Lauer’s clothes here? Maybe? Just ones that haven’t been cleaned yet?",neutral,6,"So umm , now do you have any of Matt Lauer’s clothes here ? Maybe ? Just ones that haven’t been cleaned yet ?"
Ooooohh!,surprise,4,Ooooohh !
"Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.",neutral,6,"Oh yeah , I am sure . And all of a sudden his hands weren't the problem anymore ."
Was it...?,surprise,4,Was it . . . ?
"Oh, boy scouts could have camped under there.",neutral,6,"Oh , boy scouts could have camped under there ."
"""Ooo,"" what?",surprise,4,"""Ooo , "" what ?"
Uma Thurman.,neutral,6,Uma Thurman .
Oh!,surprise,4,Oh !
The actress!,surprise,4,The actress !
Thanks Rach.,neutral,6,Thanks Rach .
So what are you gonna do?,surprise,4,So what are you gonna do ?
You have to tell her!,happiness,0,You have to tell her !
"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",anger,2,"It is your moral obligation , as a friend , as a woman , I think it is a feminist issue !"
Guys?,anger,2,Guys ?
"Oh, yeah, you have to tell her.",neutral,6,"Oh , yeah , you have to tell her ."
Feminist issue. That's where I went!,neutral,6,Feminist issue . That's where I went !
She is gonna hate me.,fear,3,She is gonna hate me .
"Yeah, well...",neutral,6,"Yeah , well . . ."
Will you marry me?,fear,3,Will you marry me ?
It’s the big night! We wanted to wish you good luck!,happiness,0,It is the big night ! We wanted to wish you good luck !
"Yeah, yeah you have the ring?",neutral,6,"Yeah , yeah you have the ring ?"
"Yeah, right here in my pocket.  Pheebs?",neutral,6,"Yeah , right here in my pocket . Pheebs ?"
Oh! Oop!,surprise,4,Oh ! Oop !
"Okay, now will you guys get out of here? I want this is to be a surprise and she’s gonna know.",neutral,6,"Okay , now will you guys get out of here ? I want this is to be a surprise and she’s gonna know ."
Yeah-yeah you guys. Get out of here!,neutral,6,Yeah-yeah you guys . Get out of here !
Hi guys.,neutral,6,Hi guys .
You are beautiful.,happiness,0,You are beautiful .
"Oh, thank you!   What’s going on?",happiness,0,"Oh , thank you ! What’s going on ?"
We’re just really…very excited about this charity event that we have to go to.,neutral,6,We are just really…very excited about this charity event that we have to go to .
"Okay umm, Ross?",neutral,6,"Okay umm , Ross ?"
"I'm-I'm really warm, so I'm going to be taking off my sweater.",neutral,6,"I am-I am really warm , so I am going to be taking off my sweater ."
"Now, I'm just letting you know that this is",neutral,6,"Now , I am just letting you know that this is"
Yep! That's hilarious!,happiness,0,Yep ! That's hilarious !
I'm sorry. I'm done. I'm done.,neutral,6,I am sorry . I am done . I am done .
"Y'know, last night was embarrassing for you too.",neutral,6,"Y'know , last night was embarrassing for you too ."
"No, not really. I mean you've seen me naked hundreds of times.",neutral,6,"No , not really . I mean you've seen me naked hundreds of times ."
Uh-huh. But it was a first for the rest of my building.,neutral,6,Uh-huh . But it was a first for the rest of my building .
"Okay. All right, that's true! But y'know I just don't embarrass that easily.",neutral,6,"Okay . All right , that's true ! But y'know I just do not embarrass that easily ."
