text,emotion,emotion_code,processed_text
"Well, you said that you had customers lined up in the street,    so I am here to entertain!",happiness,0,"Well , you said that you had customers lined up in the street , so I am here to entertain !"
That almost hit me in the face.,anger,2,That almost hit me in the face .
"All right. If you care enough to make up that load of crap, okay.",anger,2,"All right . If you care enough to make up that load of crap , okay ."
Oh my god.,surprise,4,Oh my god .
"That’s horrible! Well, you did the right thing man.",disgust,5,"That’s horrible ! Well , you did the right thing man ."
"Yes. Yes, yes I did.  But-but it was, it was just a one night thing. It meant nothing.",fear,3,"Yes . Yes , yes I did . But-but it was , it was just a one night thing . It meant nothing ."
"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",fear,3,"No way ! ‘Kay look , if I have to go to the doctor for anything it is gonna be for this thing sticking out of my stomach !"
A doctor at this hospital?,surprise,4,A doctor at this hospital ?
"What do you want from me, I’ve never met the guy.",surprise,4,"What do you want from me , I’ve never met the guy ."
We can't do that.,neutral,6,We can't do that .
"Dude, you are sick.",disgust,5,"Dude , you are sick ."
"No, no wait, for get them, we got one, hard left.",happiness,0,"No , no wait , for get them , we got one , hard left ."
Wait a minute!,surprise,4,Wait a minute !
No don’t! Go back to repeating!,fear,3,No do not ! Go back to repeating !
Arghh!!,disgust,5,Arghh ! !
"No suds? Excuse me, hold on a second.  That's my friend's machine.",anger,2,"No suds ? Excuse me , hold on a second . That's my friend's machine ."
"Oh, Barry..! Come on, this is all way too..",surprise,4,"Oh , Barry . . ! Come on , this is all way too . ."
"Come on Treeger, don’t say that.",sadness,1,"Come on Treeger , do not say that ."
"Nice,  thank you.",happiness,0,"Nice , thank you ."
"Good for you.  Uh, quarters or rolls of quarters?",happiness,0,"Good for you . Uh , quarters or rolls of quarters ?"
"Say it louder, I don’t think the guy all the way in the back heard you!",disgust,5,"Say it louder , I do not think the guy all the way in the back heard you !"
"Ross Geller, why do I know that name? It’s uh—Wait!  Did you write this?",surprise,4,"Ross Geller , why do I know that name ? It is uh—Wait ! Did you write this ?"
"Yeah, I mean whatever.",neutral,6,"Yeah , I mean whatever ."
Hey! Hey! No rough holding in my ER!,anger,2,Hey ! Hey ! No rough holding in my ER !
You’re Erwin’s daughter?!,surprise,4,You are Erwin’s daughter ? !
"Please? Please?! We just don't want to deal with telling everyone, okay? Just promise you won't tell.",fear,3,"Please ? Please ? ! We just do not want to deal with telling everyone , okay ? Just promise you won't tell ."
Oh no! Why?,surprise,4,Oh no ! Why ?
"Well, I-I said yes.",fear,3,"Well , I-I said yes ."
Would you look at this dump? He hated us. This is his final revenge!,disgust,5,Would you look at this dump ? He hated us . This is his final revenge !
No don’t! Go back to repeating!,fear,3,No do not ! Go back to repeating !
This is disgusting!,disgust,5,This is disgusting !
Look at me! I'm Chandler! Could I,happiness,0,Look at me ! I am Chandler ! Could I
"All right, I promise. I’ll fix this. I swear. I’ll-I’ll-I’ll-I’ll talk to her.",fear,3,"All right , I promise . I’ll fix this . I swear . I’ll-I’ll-I’ll-I’ll talk to her ."
You slept with the stripper?,surprise,4,You slept with the stripper ?
"Okay. Would you rather live in the shirt pocket of a sweaty giant, or inside his shower drain?",neutral,6,"Okay . Would you rather live in the shirt pocket of a sweaty giant , or inside his shower drain ?"
"Monica, betting the apartment, I don’t know about this.",fear,3,"Monica , betting the apartment , I do not know about this ."
"Fine. Okay, enjoy your concert.",disgust,5,"Fine . Okay , enjoy your concert ."
"Oh. Oh! Ma'am? Excuse me, ma'am?",neutral,6,"Oh . Oh ! Ma'am ? Excuse me , ma'am ?"
Ohhh. Don’t go.,sadness,1,Ohhh . Do not go .
And I am only naked in one scene.,neutral,6,And I am only naked in one scene .
Is he doing his shark attack bit yet?,neutral,6,Is he doing his shark attack bit yet ?
"No, it’s worse than that.",disgust,5,"No , it is worse than that ."
"I mean look at him, look at you,",disgust,5,"I mean look at him , look at you ,"
Like what?,surprise,4,Like what ?
Ewww. Yeah. Umm. I think I’m gonna stay here.,disgust,5,Ewww . Yeah . Umm . I think I am gonna stay here .
You do?,surprise,4,You do ?
Crew guy.,neutral,6,Crew guy .
I won! That was my quarter!,anger,2,I won ! That was my quarter !
"Like hypothetically, if Phoebe were mine",neutral,6,"Like hypothetically , if Phoebe were mine"
I thought I told you to get outta here!,anger,2,I thought I told you to get outta here !
"Ooh, I have to tell you something.",happiness,0,"Ooh , I have to tell you something ."
No idea!,surprise,4,No idea !
She's not much of a phone person.,neutral,6,She's not much of a phone person .
"I mean,... how needy is that?",disgust,5,"I mean , . . . how needy is that ?"
"I- just- I thought- Good, Shelley.",anger,2,"I- just- I thought- Good , Shelley ."
"Yeah, but I love you more.",happiness,0,"Yeah , but I love you more ."
"I mean it’s pretty unbelievable y'know, I mean they just took off, took off without even looking back.",anger,2,"I mean it is pretty unbelievable y'know , I mean they just took off , took off without even looking back ."
How bad is this?,fear,3,How bad is this ?
"Either that or she’s just the best, most expensive date I ever had.",surprise,4,"Either that or she’s just the best , most expensive date I ever had ."
"I know. I just wish that once, I'd bring a guy home that they actually liked.",sadness,1,"I know . I just wish that once , I'd bring a guy home that they actually liked ."
"Uh no, he’s not. Can I take a message?",neutral,6,"Uh no , he’s not . Can I take a message ?"
Ha-ha!,happiness,0,Ha-ha !
Joey that is so sweet.,happiness,0,Joey that is so sweet .
"Tiger!  Dragon! Iceberg!!  Joseph, did you even study at all last night?",anger,2,"Tiger ! Dragon ! Iceberg ! ! Joseph , did you even study at all last night ?"
"No, it's ok! Made me feel like a rock star!",happiness,0,"No , it is ok ! Made me feel like a rock star !"
Chandler.,neutral,6,Chandler .
"Oh, classy.",disgust,5,"Oh , classy ."
Because it’s weird!,disgust,5,Because it is weird !
"I mean, it-it was like, it was like he made us into a team.",happiness,0,"I mean , it-it was like , it was like he made us into a team ."
We are bad people.,disgust,5,We are bad people .
I think she’s trying to pull a fast one on Big Daddy!,anger,2,I think she’s trying to pull a fast one on Big Daddy !
"Yes! Remember? Right before we cut the cake, I went up to you and I said",surprise,4,"Yes ! Remember ? Right before we cut the cake , I went up to you and I said"
"Ohh, get a room.",disgust,5,"Ohh , get a room ."
"Monica, betting the apartment, I don’t know about this.",fear,3,"Monica , betting the apartment , I do not know about this ."
Hey lady! I don't care how much you want it! Okay?! I am,disgust,5,Hey lady ! I do not care how much you want it ! Okay ? ! I am
You’re a mean old woman.,anger,2,You are a mean old woman .
"All right here he comes. I’m gonna do this, I’m gonna tell him, I’m gonna be strong.",fear,3,"All right here he comes . I am gonna do this , I am gonna tell him , I am gonna be strong ."
"Ross, it's too hard.",sadness,1,"Ross , it is too hard ."
Oh my God! You are giving this a lot of thought.,surprise,4,Oh my God ! You are giving this a lot of thought .
"Look, look at your man, Ewing. Nice shot. You know what, he couldn't hit water if he was standing on a boat.",disgust,5,"Look , look at your man , Ewing . Nice shot . You know what , he couldn't hit water if he was standing on a boat ."
You're over me?,surprise,4,You are over me ?
"Ok, Monica. I just have to know one thing. Did you go with her to",sadness,1,"Ok , Monica . I just have to know one thing . Did you go with her to"
"She’s cute, she’s outdoorsy, you know, and she knows how to build a fire.",neutral,6,"She’s cute , she’s outdoorsy , you know , and she knows how to build a fire ."
"Ooh, let’s see it!",happiness,0,"Ooh , let us see it !"
"Oh, I'm sorry, oh, I just, I thought we could have them whipped and then add some peas and onions.",sadness,1,"Oh , I am sorry , oh , I just , I thought we could have them whipped and then add some peas and onions ."
I can't believe he did this.,surprise,4,I can't believe he did this .
Ooooohh!,surprise,4,Ooooohh !
Oh my God Monica!,surprise,4,Oh my God Monica !
It's worse than the thumb!,disgust,5,It is worse than the thumb !
..Dr. Oberman. Okay. And is he-,neutral,6,. . Dr . Oberman . Okay . And is he-
"Oh, did you not want people to know that?",happiness,0,"Oh , did you not want people to know that ?"
What are you talking about? Bitch.,anger,2,What are you talking about ? Bitch .
"Hey, so listen, I went across the street and talked to the doorman- I got the peeper's name! Can I use the phone?",anger,2,"Hey , so listen , I went across the street and talked to the doorman- I got the peeper's name ! Can I use the phone ?"
"You’ll have to pardon my roommate, he wanted to marry this.",neutral,6,"You will have to pardon my roommate , he wanted to marry this ."
"When you’re done over there, we kinda have a situation over here too.",fear,3,"When you are done over there , we kinda have a situation over here too ."
"No, no, no, don't! I've been waitin' for like, forever to go out with Lorraine. Just calm down.",anger,2,"No , no , no , do not ! I've been waitin' for like , forever to go out with Lorraine . Just calm down ."
"And I always figured, when the right one comes along, I'd be able to be a stand-up guy and go the distance, y'know?",sadness,1,"And I always figured , when the right one comes along , I'd be able to be a stand-up guy and go the distance , y'know ?"
"Because if you feel uncomfortable with your friend dating someone you work for, there are always ways to fix...that.",anger,2,"Because if you feel uncomfortable with your friend dating someone you work for , there are always ways to fix . . . that ."
"Whoa, for like months?",surprise,4,"Whoa , for like months ?"
"Umm, I'm actually a first year resident, but I get that a lot, you see, I-I graduated early",happiness,0,"Umm , I am actually a first year resident , but I get that a lot , you see , I-I graduated early"
Hi Jill!,happiness,0,Hi Jill !
If anything I'm making you look better!,happiness,0,If anything I am making you look better !
It's like we're father and son.,happiness,0,It is like we're father and son .
Yeah—No!!,disgust,5,Yeah—No ! !
I-I’m sorry?,sadness,1,I-I am sorry ?
"Uh, this is too weird.",disgust,5,"Uh , this is too weird ."
Wh-what?! Why?!,surprise,4,Wh-what ? ! Why ? !
"Oh right, because you’re so capable of change.",anger,2,"Oh right , because you are so capable of change ."
My duties?  All right.,surprise,4,My duties ? All right .
Looks like I was second to last.,surprise,4,Looks like I was second to last .
And there’s daddy!,happiness,0,And there’s daddy !
"Oh, wait a second! I didn’t say I wasn’t free!",surprise,4,"Oh , wait a second ! I didn’t say I wasn’t free !"
"I don’t mind paying my dues, y'know, its just how much am I gonna learn about fashion by walking Mira, the arthritic seamstress, to the bathroom.",disgust,5,"I do not mind paying my dues , y'know , its just how much am I gonna learn about fashion by walking Mira , the arthritic seamstress , to the bathroom ."
This place is so overpriced.,disgust,5,This place is so overpriced .
"Are you kidding me? I never rent a movie without it!  Oh.  Uh, okay uh let me call you back.",surprise,4,"Are you kidding me ? I never rent a movie without it ! Oh . Uh , okay uh let me call you back ."
You're over me?,surprise,4,You are over me ?
I'm fine.,neutral,6,I am fine .
"Oh please, he didn’t hear it! He didn’t hear it!!",fear,3,"Oh please , he didn’t hear it ! He didn’t hear it ! !"
"And, ah, you know, your fooling around with her.",happiness,0,"And , ah , you know , your fooling around with her ."
‘Cause this is what will happen when you and I have babies!,neutral,6,‘Cause this is what will happen when you and I have babies !
"I know, he’s too charming, but if you two start going out, then it’s just gonna make it so much harder for me to hate him.",disgust,5,"I know , he’s too charming , but if you two start going out , then it is just gonna make it so much harder for me to hate him ."
"No-no, Rachel, don’t get it! He can’t see us!",fear,3,"No-no , Rachel , do not get it ! He cannot see us !"
No! Don’t say that! Don’t say that!,fear,3,No ! Do not say that ! Do not say that !
What the heck is that?,surprise,4,What the heck is that ?
"Yep, we wanna get married!",happiness,0,"Yep , we wanna get married !"
"Ben, I want you to know that there may be some times when I may not be around, like this.",sadness,1,"Ben , I want you to know that there may be some times when I may not be around , like this ."
What?  Why?,surprise,4,What ? Why ?
I got it!,happiness,0,I got it !
This is unacceptable Rachel!,anger,2,This is unacceptable Rachel !
"Why not a Yugoslavian?""",neutral,6,"Why not a Yugoslavian ? """
"OK, is there a mute button on this woman?",disgust,5,"OK , is there a mute button on this woman ?"
You’re disturbing my oboe practice.,anger,2,You are disturbing my oboe practice .
"Well, I’ll tell you Rachel Karen Green, I had plans with Joey tonight and he left me this note.",neutral,6,"Well , I’ll tell you Rachel Karen Green , I had plans with Joey tonight and he left me this note ."
Regular or decaf?,neutral,6,Regular or decaf ?
"And Ross, with his over-pronouncing every single word?",anger,2,"And Ross , with his over-pronouncing every single word ?"
"I guess Joey was right, it does nothing.",happiness,0,"I guess Joey was right , it does nothing ."
"I also have to find a new video store, a new bank, a new adult bookstore, a new grocery store",disgust,5,"I also have to find a new video store , a new bank , a new adult bookstore , a new grocery store"
"...Yeah, they were gross.",disgust,5,". . . Yeah , they were gross ."
Wow! It looks like we got a lot of good stuff.,happiness,0,Wow ! It looks like we got a lot of good stuff .
Well this doesn’t even smell like opium.,disgust,5,Well this doesn’t even smell like opium .
"But we-we didn’t have…sex-uh, did we?",fear,3,"But we-we didn’t have…sex-uh , did we ?"
Was it...?,surprise,4,Was it . . . ?
Y’know I don’t understand why they didn’t cry. It was a beautiful speech.,sadness,1,You know I do not understand why they didn’t cry . It was a beautiful speech .
"Oh, okay, I'm having another one!",fear,3,"Oh , okay , I am having another one !"
"He’s right, even if it’s to say something complementary.",neutral,6,"He’s right , even if it is to say something complementary ."
You bug me.,disgust,5,You bug me .
Who cares? I repel women.,disgust,5,Who cares ? I repel women .
"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",sadness,1,"Listen , I am ah , I am sorry I’ve been so crazy and jealous and , it is just that I like you a lot , so . . ."
"And somewhere along the way, one of them is gonna realise what they’ve done and they’re call the whole thing off.",neutral,6,"And somewhere along the way , one of them is gonna realise what they’ve done and they are call the whole thing off ."
Someone on the subway licked my neck! Licked my neck!!,disgust,5,Someone on the subway licked my neck ! Licked my neck ! !
I don’t care! I am not quitting! I insist on finishing this game!,anger,2,I do not care ! I am not quitting ! I insist on finishing this game !
"Ohh, that’s too bad!",sadness,1,"Ohh , that’s too bad !"
Okay-Dokey,sadness,1,Okay-Dokey
"Okay! So, we’ll just stay married.",happiness,0,"Okay ! So , we’ll just stay married ."
I don’t think I should say.,neutral,6,I do not think I should say .
"That’s right, still no baby!  Come on people! Please make some room!",sadness,1,"That’s right , still no baby ! Come on people ! Please make some room !"
"Uh-oh, Bruiser has Becker on the canvas and is going for his favourite area.",fear,3,"Uh-oh , Bruiser has Becker on the canvas and is going for his favourite area ."
Coming through!  Oh! Coming through!  Oh! Hello! Hi!  No! Right! Coming through!,fear,3,Coming through ! Oh ! Coming through ! Oh ! Hello ! Hi ! No ! Right ! Coming through !
Out,anger,2,Out
"Umm, well, umm Grandma died.",sadness,1,"Umm , well , umm Grandma died ."
Say good-bye to sore muscles!,happiness,0,Say good-bye to sore muscles !
"Oh, it’s bad. It’s really bad. The only thing in there that isn’t burned is an ass. Which I do",sadness,1,"Oh , it is bad . It is really bad . The only thing in there that isn’t burned is an ass . Which I do"
"It's a money thing, we don't have any.",sadness,1,"It is a money thing , we do not have any ."
I could be Chandler’s new roommate.,surprise,4,I could be Chandler’s new roommate .
"Come on, pick up, pick up!",fear,3,"Come on , pick up , pick up !"
I thought so many times about calling him and asking him out.    I guess I really missed my chance.,sadness,1,I thought so many times about calling him and asking him out . I guess I really missed my chance .
"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",neutral,6,"Even though you do do a good Bob impression , I am thinkin' when she sees you tomorow , she's probably gonna realize , ""Hey , you are not Bob . """
"That’s horrible! Well, you did the right thing man.",disgust,5,"That’s horrible ! Well , you did the right thing man ."
Bob. Bob! Bob!!!  What the hell are you doing?!,surprise,4,Bob . Bob ! Bob ! ! ! What the hell are you doing ? !
"Really?  My God, he’s really cute.",surprise,4,"Really ? My God , he’s really cute ."
So you're a chef?,neutral,6,So you are a chef ?
What’s-what’s this nonsense?,fear,3,What’s-what’s this nonsense ?
"Yeah, maybe...",happiness,0,"Yeah , maybe . . ."
"I don't know. We're talking about whipped fish, Monica. I'm just happy I'm keeping it down, y'know?",disgust,5,"I do not know . We're talking about whipped fish , Monica . I am just happy I am keeping it down , y'know ?"
"Yeah, she clamed she had to go out of town suddenly.",sadness,1,"Yeah , she clamed she had to go out of town suddenly ."
"It's just you and Rachel, just the two of you? This is a date. You're going on a date.",happiness,0,"It is just you and Rachel , just the two of you ? This is a date . You are going on a date ."
All the time!,anger,2,All the time !
They were in his office.,neutral,6,They were in his office .
"Ohh, I know one thing!",happiness,0,"Ohh , I know one thing !"
So—If you wear that you’ll make mine less special.,sadness,1,So—If you wear that you will make mine less special .
And shame on you!,disgust,5,And shame on you !
"The kid...?  Excuse me, uh, that's, that's my puck.",anger,2,"The kid . . . ? Excuse me , uh , that's , that's my puck ."
But I can see through your sheet.,neutral,6,But I can see through your sheet .
What the?!,surprise,4,What the ? !
I…I am brave!,fear,3,I…I am brave !
Again. Y’know what? I think we all did.,sadness,1,Again . You know what ? I think we all did .
"Well, I'm sorry Joe. I didn't think the doctor was gonna buy that it just *fell* out of the socket.",anger,2,"Well , I am sorry Joe . I didn't think the doctor was gonna buy that it just *fell* out of the socket ."
Okay—Oop! Too late! I’m leaving! Come on Chandler let’s go!,anger,2,Okay—Oop ! Too late ! I am leaving ! Come on Chandler let us go !
What?! It’s 6 o’clock!,surprise,4,What ? ! It is 6 o’clock !
How could you not tell me that she has hair?,surprise,4,How could you not tell me that she has hair ?
"I said, ""Geez, relax Monnnnn.""",fear,3,"I said , ""Geez , relax Monnnnn . """
I’m sorry I gotta cancel tonight baby,sadness,1,I am sorry I gotta cancel tonight baby
"Okay, here goes.",fear,3,"Okay , here goes ."
"Oh, you’re switching apartments?",surprise,4,"Oh , you are switching apartments ?"
What are you talking about?!,surprise,4,What are you talking about ? !
"Hey, I thought I cheered you up.",neutral,6,"Hey , I thought I cheered you up ."
"And yet, we’re still poking him.",disgust,5,"And yet , we are still poking him ."
"I mean this picture is supposed to say ""Geller and Bing to be married,"" not ""Local woman saves drowning moron!""",anger,2,"I mean this picture is supposed to say ""Geller and Bing to be married , "" not ""Local woman saves drowning moron ! """
Oh my.,surprise,4,Oh my .
"I—Rachel, you can’t go! Ross loves Emily!",fear,3,"I—Rachel , you cannot go ! Ross loves Emily !"
"Not this hospital, I’m going to sue you!",anger,2,"Not this hospital , I am going to sue you !"
"Whoa, whoa. And the fact that you dumped him because he hit on Phoebe?",anger,2,"Whoa , whoa . And the fact that you dumped him because he hit on Phoebe ?"
"Once you, once you betray me, I become like the ice woman, y’know.",neutral,6,"Once you , once you betray me , I become like the ice woman , you know ."
"Um, y'know, before we go ah, there’s something I need to say.",fear,3,"Um , y'know , before we go ah , there’s something I need to say ."
"So Ross, what your problem?",anger,2,"So Ross , what your problem ?"
"Chandler, I…",happiness,0,"Chandler , I…"
I was gonna give you a chance to apologise to me.,disgust,5,I was gonna give you a chance to apologise to me .
"Yeah, wow, sorry Rach.",sadness,1,"Yeah , wow , sorry Rach ."
"I know that switch does something, okay?",neutral,6,"I know that switch does something , okay ?"
"Or not. Uh, Rach, why don’t you just move in with me?",neutral,6,"Or not . Uh , Rach , why do not you just move in with me ?"
"Ten, even twenty minutes if you need it.",neutral,6,"Ten , even twenty minutes if you need it ."
Noo.,sadness,1,Noo .
Hey Gunther. Hi.  I mean you’re going out on a date with the noisy guy upstairs?,surprise,4,Hey Gunther . Hi . I mean you are going out on a date with the noisy guy upstairs ?
"What we did was wrong. Oh god, I just had sex with somebody that wasn't alive during the Bicentennial.",disgust,5,"What we did was wrong . Oh god , I just had sex with somebody that wasn't alive during the Bicentennial ."
That—It’s not the same thing! This is,anger,2,That—It is not the same thing ! This is
"Oh, you didn’t see the Post?",surprise,4,"Oh , you didn’t see the Post ?"
"I can't prove    it yet, but when I do, you'll be going to jail for murder.",anger,2,"I can't prove it yet , but when I do , you will be going to jail for murder ."
"Look, I just saw my best friends brains smeared across the canvas, that’s not gonna be me, not me.",sadness,1,"Look , I just saw my best friends brains smeared across the canvas , that’s not gonna be me , not me ."
Okay! You don’t think I thought of that?,anger,2,Okay ! You do not think I thought of that ?
Sells drugs to kids.,disgust,5,Sells drugs to kids .
I don’t think so. Hello?  When you get in there,neutral,6,I do not think so . Hello ? When you get in there
Someone on the subway licked my neck! Licked my neck!!,disgust,5,Someone on the subway licked my neck ! Licked my neck ! !
"It’s okay. I suppose it could happen to anyone, not anyone I know, but... By the way I can still see it.",neutral,6,"It is okay . I suppose it could happen to anyone , not anyone I know , but . . . By the way I can still see it ."
It’s-it’s too soon.,fear,3,It’s-it is too soon .
It kicked! I think the baby kicked!,surprise,4,It kicked ! I think the baby kicked !
"When you were talking about Roger, that was killing me!",sadness,1,"When you were talking about Roger , that was killing me !"
"Y’know what Tag, if we went down to the office you would see those contracts sitting on your desk.",anger,2,"You know what Tag , if we went down to the office you would see those contracts sitting on your desk ."
"Du-du-I wrote it, I wrote it on the board!",fear,3,"Du-du-I wrote it , I wrote it on the board !"
"All right, there you go!",happiness,0,"All right , there you go !"
"Oh, I’m so sorry.",sadness,1,"Oh , I am so sorry ."
"Excuse me, umm, can I talk to you over here for just a second?",anger,2,"Excuse me , umm , can I talk to you over here for just a second ?"
No! I won’t leave you!,fear,3,No ! I will not leave you !
I don't care if you    are my brother.,disgust,5,I do not care if you are my brother .
Including me?,surprise,4,Including me ?
No that could kill her.,fear,3,No that could kill her .
I'm Joan Collins.,disgust,5,I am Joan Collins .
"All right, well why don’t I go out with an ex-boyfriend and do Joey a favor?!",sadness,1,"All right , well why do not I go out with an ex-boyfriend and do Joey a favor ? !"
"Please, right now, no, every time I see him it’s like ‘Is it on the lose?’ ‘Is it watching me?’",fear,3,"Please , right now , no , every time I see him it is like ‘Is it on the lose ? ’ ‘Is it watching me ? ’"
"Umm, see, I was thinking maybe you two could switch apartments because Phoebe's more our kind of people.",fear,3,"Umm , see , I was thinking maybe you two could switch apartments because Phoebe's more our kind of people ."
"Okay, Ben, I won’t tell your daddy that you had ice cream for dinner, if you don’t tell about our little bonking incident.",fear,3,"Okay , Ben , I will not tell your daddy that you had ice cream for dinner , if you do not tell about our little bonking incident ."
Oh well,neutral,6,Oh well
"Oh, I know.",sadness,1,"Oh , I know ."
I can’t seem to say goodbye.,sadness,1,I cannot seem to say goodbye .
"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",sadness,1,"Joey is a great guy , but we're just . . . so different ! I mean , during your speech he kept laughing at homo erectus !"
Yes. Absolutely. A quality.,neutral,6,Yes . Absolutely . A quality .
That thing was a hazard!  I’m very safety conscious.,fear,3,That thing was a hazard ! I am very safety conscious .
This was fun! But I've got an invasive vaginal exam to get to!,happiness,0,This was fun ! But I've got an invasive vaginal exam to get to !
"Thanks, but I kinda have a problem to deal with here.",fear,3,"Thanks , but I kinda have a problem to deal with here ."
