text,emotion,emotion_code,sub_emotion,processed_text
All right.,neutral,6,neutral,All right .
You will go there. There is a young man there.,neutral,6,neutral,You will go there . There is a young man there .
His name is Adrien.,neutral,6,neutral,His name is Adrien .
You have an appointment with him.,neutral,6,neutral,You have an appointment with him .
"Please, will sit down.",neutral,6,neutral,"Please , will sit down ."
Laughter,happiness,0,amusement,Laughter
You let it go.,neutral,6,neutral,You let it go .
"I don't understand, I see a peroxidized blond in the distance.",surprise,4,confusion,"I do not understand , I see a peroxidized blond in the distance ."
"I'm starting to be tense, because ...",fear,3,nervousness,"I am starting to be tense , because . . ."
"I say to myself, she will have a date before my eyes.",surprise,4,curiosity,"I say to myself , she will have a date before my eyes ."
"Julie, I present to you Adrien.",neutral,6,neutral,"Julie , I present to you Adrien ."
"Adrien, I present to you Julie.",neutral,6,neutral,"Adrien , I present to you Julie ."
Adrien is there for this exercise.,neutral,6,neutral,Adrien is there for this exercise .
"You understood that it was a date, but that it was a date.",neutral,6,realization,"You understood that it was a date , but that it was a date ."
You are met on a meeting application.,neutral,6,neutral,You are met on a meeting application .
You will make me fart a lead.,anger,2,annoyance,You will make me fart a lead .
This is your first appointment.,neutral,6,neutral,This is your first appointment .
This is the first time you have seen yourself and you have been like it.,neutral,6,realization,This is the first time you have seen yourself and you have been like it .
You enter the seduction.,surprise,4,curiosity,You enter the seduction .
Antoine will watch.,neutral,6,neutral,Antoine will watch .
I'm calling you Adrien.,neutral,6,neutral,I am calling you Adrien .
Adrien.,neutral,6,neutral,Adrien .
"28, soon.",neutral,6,neutral,"28 , soon ."
"Okay, I have 27.",neutral,6,neutral,"Okay , I have 27 ."
27 ?,surprise,4,confusion,27 ?
"What do you see, there?",surprise,4,curiosity,"What do you see , there ?"
I have been met since the time I wanted to meet.,neutral,6,neutral,I have been met since the time I wanted to meet .
"Julie, in D, you're just a boy.",neutral,6,neutral,"Julie , in D , you are just a boy ."
"What I'm going to ask you,",surprise,4,curiosity,"What I am going to ask you ,"
"is that every time it shocks you,",surprise,4,surprise,"is that every time it shocks you ,"
You write on the sheet why.,surprise,4,confusion,You write on the sheet why .
It's just torture.,disgust,5,disgust,It is just torture .
Why is she doing this to me?,surprise,4,confusion,Why is she doing this to me ?
"She is supposed to arrange things between Julie and me,",neutral,6,neutral,"She is supposed to arrange things between Julie and me ,"
"But there, I have the impression that she wants us to separate.",sadness,1,disappointment,"But there , I have the impression that she wants us to separate ."
I don't understand.,surprise,4,confusion,I do not understand .
I need to learn from him.,surprise,4,curiosity,I need to learn from him .
"Ah, okay, okay.",neutral,6,neutral,"Ah , okay , okay ."
"It's good, I know.",happiness,0,pride,"It is good , I know ."
For what ?,surprise,4,curiosity,For what ?
"The hand, the gaze ...",surprise,4,curiosity,"The hand , the gaze . . ."
A seductive position?,surprise,4,curiosity,A seductive position ?
"Yeah, exactly.",neutral,6,realization,"Yeah , exactly ."
"It is true that there, I am destabilized.",surprise,4,confusion,"It is true that there , I am destabilized ."
"If I sit here, right next to you?",surprise,4,curiosity,"If I sit here , right next to you ?"
Are you going there?,surprise,4,curiosity,Are you going there ?
Destabilizing?,surprise,4,confusion,Destabilizing ?
"Yeah, it's destabilizing.",surprise,4,confusion,"Yeah , it is destabilizing ."
A little bit.,surprise,4,confusion,A little bit .
"The guy, he does a lot with Julie.",anger,2,annoyance,"The guy , he does a lot with Julie ."
"He's there, he gets closer,",anger,2,annoyance,"He's there , he gets closer ,"
"He starts making compliments,",anger,2,annoyance,"He starts making compliments ,"
He touches his hand.,anger,2,annoyance,He touches his hand .
"The truth, if I don't want to eat the bottom of the swimming pool,",fear,3,fear,"The truth , if I do not want to eat the bottom of the swimming pool ,"
Fiancée ?,surprise,4,curiosity,Fiancée ?
"No, I'm not engaged.",neutral,6,neutral,"No , I am not engaged ."
It's a joke.,happiness,0,amusement,It is a joke .
What if we remove it?,surprise,4,curiosity,What if we remove it ?
Why do you want to remove it?,surprise,4,curiosity,Why do you want to remove it ?
"Because for me, I'm with you,",happiness,0,love,"Because for me , I am with you ,"
We are just to put there.,neutral,6,neutral,We are just to put there .
"The worst in this story,",sadness,1,disappointment,"The worst in this story ,"
And she doesn't take her hand off.,sadness,1,disappointment,And she doesn't take her hand off .
"Frankly, you jokes his hand with a slap.",anger,2,anger,"Frankly , you jokes his hand with a slap ."
"OK, agreed.",neutral,6,neutral,"OK , agreed ."
I saw what I had to see.,neutral,6,realization,I saw what I had to see .
"Frankly, it's enough for me.",sadness,1,disappointment,"Frankly , it is enough for me ."
It's a gift of ...,neutral,6,neutral,It is a gift of . . .
"Ok, I can tell you what's going on.",neutral,6,neutral,"Ok , I can tell you what's going on ."
Do you want to know?,surprise,4,curiosity,Do you want to know ?
"It was I who asked for it, like that.",neutral,6,neutral,"It was I who asked for it , like that ."
OK.,neutral,6,neutral,OK .
She sees it as a role.,neutral,6,neutral,She sees it as a role .
But I'm not sure.,surprise,4,confusion,But I am not sure .
It's up to you to see.,neutral,6,neutral,It is up to you to see .
I'll explain to you what we're going to do.,neutral,6,neutral,I'll explain to you what we're going to do .
We're going to go there and we're going to sit with Julie.,neutral,6,neutral,We're going to go there and we're going to sit with Julie .
"Are we going to talk a bit, okay?",neutral,6,neutral,"Are we going to talk a bit , okay ?"
Come on.,neutral,6,neutral,Come on .
"This coaching, me, he ...",surprise,4,confusion,"This coaching , me , he . . ."
"He clearly drunk me, he pissed me off.",anger,2,annoyance,"He clearly drunk me , he pissed me off ."
For the simple reason that I do not understand.,surprise,4,confusion,For the simple reason that I do not understand .
I don't understand what's going on.,surprise,4,confusion,I do not understand what's going on .
"I thought she had evolved,",sadness,1,disappointment,"I thought she had evolved ,"
"But when I see that, I tell myself that not at all.",sadness,1,disappointment,"But when I see that , I tell myself that not at all ."
"Come on, see you soon.",neutral,6,neutral,"Come on , see you soon ."
"Antoine, sit down.",neutral,6,neutral,"Antoine , sit down ."
"I haven't seen you, it was not cool.",sadness,1,disappointment,"I haven't seen you , it was not cool ."
I know.,neutral,6,neutral,I know .
Oh is!,surprise,4,surprise,Oh is !
My life ...,neutral,6,neutral,My life . . .
"My life, what's it?",surprise,4,confusion,"My life , what's it ?"
"You see, however, he knows it was false.",neutral,6,realization,"You see , however , he knows it was false ."
Do you see the reaction?,surprise,4,curiosity,Do you see the reaction ?
"I know, because he suffered enormously.",sadness,1,sadness,"I know , because he suffered enormously ."
But are you sick or what?,anger,2,annoyance,But are you sick or what ?
My heart !,happiness,0,love,My heart !
I love you.,happiness,0,love,I love you .
One.,neutral,6,neutral,One .
You can give me next to me.,neutral,6,neutral,You can give me next to me .
"Ah yes, you can.",neutral,6,neutral,"Ah yes , you can ."
My heart !,happiness,0,love,My heart !
I just wanted it to end.,anger,2,annoyance,I just wanted it to end .
"He is convinced that you had the wish, but that you had fun?",surprise,4,confusion,"He is convinced that you had the wish , but that you had fun ?"
"In fact, when I see that, you see, I tell myself that ...",neutral,6,realization,"In fact , when I see that , you see , I tell myself that . . ."
"Already, I still can't trust, you see.",sadness,1,disappointment,"Already , I still can't trust , you see ."
"And to any occasion,",neutral,6,neutral,"And to any occasion ,"
"like a box evening, an evening with friends",neutral,6,neutral,"like a box evening , an evening with friends"
"Or someone you don't know who happens,",surprise,4,curiosity,"Or someone you do not know who happens ,"
"At any time, you can betray me.",fear,3,fear,"At any time , you can betray me ."
"Even if I know it's an exercise,",neutral,6,neutral,"Even if I know it is an exercise ,"
"I have the impression that when I see you acting with him,",surprise,4,curiosity,"I have the impression that when I see you acting with him ,"
that there is a background of truth.,neutral,6,realization,that there is a background of truth .
"I know that in my head, it was clear and clear.",neutral,6,realization,"I know that in my head , it was clear and clear ."
"Afterwards, in the sense that I am honest with you,",neutral,6,neutral,"Afterwards , in the sense that I am honest with you ,"
It was nervousness.,fear,3,nervousness,It was nervousness .
"It must be hard for him, but it's hard too for me",sadness,1,sadness,"It must be hard for him , but it is hard too for me"
Because I love him very much and I don't want to hurt him.,happiness,0,love,Because I love him very much and I do not want to hurt him .
I will tell you what I saw.,neutral,6,neutral,I will tell you what I saw .
"who laughed nervously and who said to himself,",fear,3,nervousness,"who laughed nervously and who said to himself ,"
"When it stops, because it's very hard,",anger,2,annoyance,"When it stops , because it is very hard ,"
That's all I saw.,neutral,6,neutral,That's all I saw .
And what I just did there,neutral,6,neutral,And what I just did there
"It is to offer you an opportunity, precisely,",happiness,0,optimism,"It is to offer you an opportunity , precisely ,"
"to clear you both,",happiness,0,relief,"to clear you both ,"
"To find out what are your limits,",surprise,4,curiosity,"To find out what are your limits ,"
"And before leaving this adventure,",neutral,6,neutral,"And before leaving this adventure ,"
"to put yourself in the square both to tell you,",happiness,0,optimism,"to put yourself in the square both to tell you ,"
that you never know ...,neutral,6,neutral,that you never know . . .
"which begins to compliment and that we get into his game,",surprise,4,curiosity,"which begins to compliment and that we get into his game ,"
"which begins to imply, that we might be seen.",fear,3,nervousness,"which begins to imply , that we might be seen ."
An opening.,neutral,6,neutral,An opening .
This is flirting.,neutral,6,neutral,This is flirting .
This is out of the question.,anger,2,anger,This is out of the question .
It seems to me completely logical.,neutral,6,neutral,It seems to me completely logical .
"So you, your limit is,",surprise,4,curiosity,"So you , your limit is ,"
I want you to put a stop.,happiness,0,optimism,I want you to put a stop .
Exactly.,neutral,6,neutral,Exactly .
I understand myself.,neutral,6,realization,I understand myself .
"And this is the only thing I didn't want to do him again, in fact.",sadness,1,disappointment,"And this is the only thing I didn't want to do him again , in fact ."
"And this coaching makes me do a lot of things,",neutral,6,realization,"And this coaching makes me do a lot of things ,"
including the fact that I am very in love with Antoine.,happiness,0,love,including the fact that I am very in love with Antoine .
And that is the most beautiful of successes.,happiness,0,pride,And that is the most beautiful of successes .
So be careful.,fear,3,fear,So be careful .
The limits of one are not the limits of the other.,neutral,6,realization,The limits of one are not the limits of the other .
Just because she's going to accept something you have to accept.,fear,3,fear,Just because she's going to accept something you have to accept .
It is not because you are going to accept something that she will accept it.,fear,3,fear,It is not because you are going to accept something that she will accept it .
Of course.,neutral,6,neutral,Of course .
Does it seem clear to you both?,surprise,4,curiosity,Does it seem clear to you both ?
Totally.,neutral,6,neutral,Totally .
It's clear and it's good for me.,happiness,0,relief,It is clear and it is good for me .
"In fact, the conclusion of this exercise,",neutral,6,neutral,"In fact , the conclusion of this exercise ,"
is that I realize a lot of things,neutral,6,realization,is that I realize a lot of things
that I may not have settled.,neutral,6,neutral,that I may not have settled .
"Some problems of self -confidence, of self -confidence.",fear,3,nervousness,"Some problems of self -confidence , of self -confidence ."
"And so that it advances with Julie,",happiness,0,optimism,"And so that it advances with Julie ,"
We will have to make concessions both,neutral,6,realization,We will have to make concessions both
"Because deep down, I love it like crazy.",happiness,0,love,"Because deep down , I love it like crazy ."
"And if I didn't like it, I wouldn't react like that.",neutral,6,realization,"And if I didn't like it , I wouldn't react like that ."
"I am licked, both.",surprise,4,confusion,"I am licked , both ."
You put me bad.,sadness,1,disappointment,You put me bad .
"It's because I noticed that I really loved you, you see.",neutral,6,realization,"It is because I noticed that I really loved you , you see ."
A moment,neutral,6,neutral,A moment
Poisson,neutral,6,neutral,Poisson
Oui ?,neutral,6,neutral,Oui ?
Are you there?,surprise,4,curiosity,Are you there ?
Oui.,neutral,6,neutral,Oui .
Are you resting?,surprise,4,curiosity,Are you resting ?
Did you talk about my coaching?,surprise,4,curiosity,Did you talk about my coaching ?
Oui.,neutral,6,neutral,Oui .
With Lucie.,neutral,6,neutral,With Lucie .
"I had to read it in front of everyone,",fear,3,nervousness,"I had to read it in front of everyone ,"
either to someone.,neutral,6,neutral,either to someone .
I think it's better that I read you to you,neutral,6,realization,I think it is better that I read you to you
It's been a while since I have to read my book,fear,3,nervousness,It is been a while since I have to read my book
that I had started writing following my coaching with Lucie.,neutral,6,neutral,that I had started writing following my coaching with Lucie .
I found not the right time,sadness,1,disappointment,I found not the right time
It's Nicolo.,neutral,6,neutral,It is Nicolo .
"Yes, because I think I saw it reading it to anyone.",neutral,6,realization,"Yes , because I think I saw it reading it to anyone ."
"I have to talk about myself, but in the 3rd person.",fear,3,nervousness,"I have to talk about myself , but in the 3rd person ."
"You see, in mode, there was once.",neutral,6,neutral,"You see , in mode , there was once ."
Virginie really saw her weapons giving up,sadness,1,sadness,Virginie really saw her weapons giving up
And to show his heart.,neutral,6,neutral,And to show his heart .
"Because I often show, almost all the time,",neutral,6,neutral,"Because I often show , almost all the time ,"
my heart to her.,happiness,0,love,my heart to her .
I did not expect it at all.,surprise,4,surprise,I did not expect it at all .
"Once upon a time, Virginie, an 18 -year -old girl,",neutral,6,neutral,"Once upon a time , Virginie , an 18 -year -old girl ,"
who meets love for the first time.,happiness,0,joy,who meets love for the first time .
"It is a passionate love that saw gradually in the nightmare,",fear,3,fear,"It is a passionate love that saw gradually in the nightmare ,"
since a form of violence settles.,fear,3,fear,since a form of violence settles .
It was very difficult for me to get out of this unreasonable love.,sadness,1,grief,It was very difficult for me to get out of this unreasonable love .
It really left me consequences.,sadness,1,sadness,It really left me consequences .
"One day, I met another man",neutral,6,neutral,"One day , I met another man"
With whom I still experienced a passionate story,neutral,6,neutral,With whom I still experienced a passionate story
in which Virginie had really believed.,sadness,1,disappointment,in which Virginie had really believed .
"And kindly,",neutral,6,neutral,"And kindly ,"
Virginie had a lot of trouble taking this betrayal.,sadness,1,grief,Virginie had a lot of trouble taking this betrayal .
"Over time, Virginie always advanced alone,",sadness,1,sadness,"Over time , Virginie always advanced alone ,"
no longer believing in ideal love at all,sadness,1,disappointment,no longer believing in ideal love at all
She nevertheless masked this disappointment by a lot of self -mockery,sadness,1,disappointment,She nevertheless masked this disappointment by a lot of self -mockery
And no longer wanted to find this feeling in love.,sadness,1,disappointment,And no longer wanted to find this feeling in love .
"Now I really understand why she is on the defensive,",neutral,6,realization,"Now I really understand why she is on the defensive ,"
"Why she always has doubts, why she is always afraid.",fear,3,fear,"Why she always has doubts , why she is always afraid ."
"There, everything is clearer, finally, and it touches me.",neutral,6,realization,"There , everything is clearer , finally , and it touches me ."
Laughter,happiness,0,amusement,Laughter
"Here, that's it.",neutral,6,neutral,"Here , that's it ."
"On what I feel, on what I could experience.",surprise,4,curiosity,"On what I feel , on what I could experience ."
"But at least it is said, I am released and I feel good.",happiness,0,relief,"But at least it is said , I am released and I feel good ."
"It speaks to you, my story, she talks to you.",surprise,4,curiosity,"It speaks to you , my story , she talks to you ."
"I think our situation was not at this level,",neutral,6,neutral,"I think our situation was not at this level ,"
In the sense that I saw Gaia once.,neutral,6,neutral,In the sense that I saw Gaia once .
"It is true that because of my doubts, I doubted and I did not know what to do.",surprise,4,confusion,"It is true that because of my doubts , I doubted and I did not know what to do ."
I met a girl in the date,surprise,4,curiosity,I met a girl in the date
"Who, anyway, had something that looked like me.",surprise,4,curiosity,"Who , anyway , had something that looked like me ."
"And so, I lost my certainties a bit,",surprise,4,confusion,"And so , I lost my certainties a bit ,"
But now I'm sure of my choice.,neutral,6,realization,But now I am sure of my choice .
"It's cute. I am super happy,",happiness,0,joy,"It is cute . I am super happy ,"
But I don't prefer to go too fast either because ...,fear,3,fear,But I do not prefer to go too fast either because . . .
I understand.,neutral,6,neutral,I understand .
I understand.,neutral,6,neutral,I understand .
"The important thing is that we walk in the same way,",happiness,0,optimism,"The important thing is that we walk in the same way ,"
"Then we don't know where we're going to arrive,",neutral,6,neutral,"Then we do not know where we're going to arrive ,"
"But in any case,",neutral,6,neutral,"But in any case ,"
It's good if we start again.,happiness,0,optimism,It is good if we start again .
"I think I and Virginia, we can go very far together.",happiness,0,optimism,"I think I and Virginia , we can go very far together ."
I'm proud of myself.,happiness,0,pride,I am proud of myself .
"I made the right decision, in the end,",happiness,0,relief,"I made the right decision , in the end ,"
And that's something I didn't expect at all.,surprise,4,surprise,And that's something I didn't expect at all .
Very cute.,happiness,0,amusement,Very cute .
And I hope you will write well pages for your future.,happiness,0,optimism,And I hope you will write well pages for your future .
It's cute.,happiness,0,amusement,It is cute .
"I hope also, we'll see.",happiness,0,optimism,"I hope also , we'll see ."
It resources us.,happiness,0,relief,It resources us .
We may have needed it a bit,neutral,6,realization,We may have needed it a bit
"Because we were too much on the defensive,",neutral,6,realization,"Because we were too much on the defensive ,"
"And there, it allows a little to pick up the pieces.",happiness,0,relief,"And there , it allows a little to pick up the pieces ."
Are you going below?,surprise,4,curiosity,Are you going below ?
"No, I'm going to see the girls.",neutral,6,neutral,"No , I am going to see the girls ."
Now I feel accomplished in my coaching.,happiness,0,pride,Now I feel accomplished in my coaching .
"I have the impression that I finished it, I closed it.",neutral,6,realization,"I have the impression that I finished it , I closed it ."
I am happy and I am proud of myself.,happiness,0,pride,I am happy and I am proud of myself .
Background music,neutral,6,neutral,Background music
Children!,neutral,6,neutral,Children !
Ah !,surprise,4,surprise,Ah !
We got back!,happiness,0,excitement,We got back !
"Are you happy, both?",surprise,4,curiosity,"Are you happy , both ?"
Laughter,happiness,0,amusement,Laughter
You are happy.,happiness,0,joy,You are happy .
Tranquil.,neutral,6,neutral,Tranquil .
Laughter,happiness,0,amusement,Laughter
I adore.,happiness,0,love,I adore .
"I see Julien and Antoine return from their coaching,",neutral,6,neutral,"I see Julien and Antoine return from their coaching ,"
"Hyper smiling, happier than ever.",happiness,0,joy,"Hyper smiling , happier than ever ."
"I say, finally, a coaching where people come happy!",happiness,0,joy,"I say , finally , a coaching where people come happy !"
It was time!,happiness,0,excitement,It was time !
Sweet music,happiness,0,joy,Sweet music
We arrived.,neutral,6,neutral,We arrived .
There was Lucie who was waiting for us.,neutral,6,neutral,There was Lucie who was waiting for us .
She told me to put myself behind a screen.,anger,2,annoyance,She told me to put myself behind a screen .
Julie left with a guy.,neutral,6,neutral,Julie left with a guy .
Ouh is!,surprise,4,surprise,Ouh is !
"I hope Lucie is not going to do this to me,",fear,3,nervousness,"I hope Lucie is not going to do this to me ,"
"Otherwise, I'm going to fart a lead.",anger,2,annoyance,"Otherwise , I am going to fart a lead ."
"Exercise or not exercise,",surprise,4,curiosity,"Exercise or not exercise ,"
"I don't know how to pretend, I don't know how to hold back.",surprise,4,confusion,"I do not know how to pretend , I do not know how to hold back ."
I was not even a party that he had already the Seum.,anger,2,annoyance,I was not even a party that he had already the Seum .
I let the exercise be done until the end,neutral,6,neutral,I let the exercise be done until the end
To go and how far she could go to seduction,surprise,4,curiosity,To go and how far she could go to seduction
"If I stopped the thing after 30 seconds,",neutral,6,neutral,"If I stopped the thing after 30 seconds ,"
It had no interest.,neutral,6,neutral,It had no interest .
"Afterwards, we settled with Lucie.",neutral,6,neutral,"Afterwards , we settled with Lucie ."
"At that time, I totally fell in love.",happiness,0,love,"At that time , I totally fell in love ."
"He cried, my life.",sadness,1,sadness,"He cried , my life ."
I am collapsed in tears.,sadness,1,grief,I am collapsed in tears .
I just cry.,sadness,1,sadness,I just cry .
"You just make it stubborn, you.",anger,2,annoyance,"You just make it stubborn , you ."
It hurt me.,sadness,1,sadness,It hurt me .
It hurts me to see him cry.,sadness,1,sadness,It hurts me to see him cry .
"At the same time, it made me happy",happiness,0,joy,"At the same time , it made me happy"
Because she was not sure of her feelings towards me.,surprise,4,confusion,Because she was not sure of her feelings towards me .
I realized that he was ...,neutral,6,realization,I realized that he was . . .
He too really loved me.,happiness,0,joy,He too really loved me .
She saw that I had real feelings for her.,neutral,6,realization,She saw that I had real feelings for her .
I realized that I am really in love with him,happiness,0,love,I realized that I am really in love with him
And that I really like it.,happiness,0,love,And that I really like it .
They are all very happy for us.,happiness,0,joy,They are all very happy for us .
There is only love around us.,happiness,0,love,There is only love around us .
We don't make the wrong choice.,happiness,0,optimism,We do not make the wrong choice .
He is my sow and everyone knows.,happiness,0,pride,He is my sow and everyone knows .
"It was a difficult exercise, but in any case, it was saving.",happiness,0,relief,"It was a difficult exercise , but in any case , it was saving ."
And we realize that we really want to be together.,neutral,6,realization,And we realize that we really want to be together .
"They love each other with a love, I think, very strong.",happiness,0,love,"They love each other with a love , I think , very strong ."
"He has eyes that for her, eyes than for him.",happiness,0,love,"He has eyes that for her , eyes than for him ."
"On the other hand, this boy, I will offer it to date for Manon.",surprise,4,curiosity,"On the other hand , this boy , I will offer it to date for Manon ."
So that's it.,neutral,6,neutral,So that's it .
"If you want, you can go down with him, not now.",neutral,6,neutral,"If you want , you can go down with him , not now ."
There is something that could be done.,happiness,0,optimism,There is something that could be done .
"If it can try to wake Lalou in passing,",surprise,4,curiosity,"If it can try to wake Lalou in passing ,"
"It's a little two-in-one, so a gift.",happiness,0,amusement,"It is a little two-in-one , so a gift ."
I think she has already forgotten it.,neutral,6,realization,I think she has already forgotten it .
