text,true_emotion,pred_emotion,true_sub_emotion,pred_sub_emotion,true_intensity,pred_intensity,emotion_confidence,sub_emotion_confidence,intensity_confidence,text_length,emotion_correct,sub_emotion_correct,intensity_correct,all_correct,confidence_level
Let the games begin,neutral,neutral,neutral,neutral,intense,neutral,0.4640332,0.672146,0.61470634,19,True,True,False,False,High
Would say that I'm a model with brains. I am putting my degree in whole,neutral,happiness,neutral,neutral,moderate,mild,0.5336517,0.20103195,0.51307505,71,False,True,False,False,Medium
It's now or never and by one last shot before I jump back into the world of academia,neutral,fear,neutral,neutral,intense,mild,0.23746438,0.4509974,0.33521917,84,False,True,False,False,Low
Double power,neutral,neutral,neutral,neutral,moderate,neutral,0.5389439,0.7697911,0.6976528,12,True,True,False,False,High
"It was my idea to come to Asia's Next Top Model, sorry, Veronica",happiness,disgust,pride,disapproval,mild,moderate,0.3666147,0.20916484,0.47593784,64,False,False,False,False,Low
"Even if you're my twin sister, but I'm gonna win this there's two of us and only one winner",neutral,happiness,neutral,neutral,intense,moderate,0.4351149,0.24148928,0.39576522,91,False,True,False,False,Low
Really love fashion. So I started my fashion blog. I have,neutral,happiness,neutral,neutral,moderate,mild,0.62952477,0.12316757,0.42680344,57,False,True,False,False,Low
"70,000 followers in Instagram right now. They keep on commenting on my photos at the Jenica",neutral,anger,neutral,neutral,moderate,moderate,0.21360095,0.28696203,0.42002994,91,False,True,True,False,Very Low
Please join Asia's Next Top Model for me. I'm gonna do everything to go all the way to the top,happiness,happiness,optimism,optimism,intense,mild,0.5955855,0.111177765,0.38349742,94,True,True,False,False,Low
"Name is Clara. I'm 21 years old. I'm from Indonesia. I don't have brain. I mean, I'm not smart",neutral,disgust,neutral,neutral,neutral,mild,0.30002278,0.3933963,0.38546342,94,False,True,False,False,Low
"When I go to primary school, I get bullied",neutral,disgust,neutral,disapproval,moderate,moderate,0.2656355,0.21463344,0.52325886,42,False,False,True,False,Very Low
I want to prove my primary school who bullied me the ugly ducking now become a pretty pretty face,neutral,disgust,neutral,disapproval,intense,moderate,0.32541084,0.22187586,0.5706414,97,False,False,False,False,Low
I'm Cara G McElroy and I am your model mentor for this season of Asia's Next Top Model,happiness,happiness,pride,neutral,moderate,neutral,0.40476093,0.41660652,0.38539714,86,True,False,False,False,Medium
I've worked for many global ad campaigns and worked alongside,neutral,neutral,neutral,neutral,moderate,neutral,0.46892884,0.7192739,0.64469,61,True,True,False,False,High
Supermodels like Cindy Crawford and Naomi Campbell,neutral,neutral,neutral,neutral,moderate,neutral,0.53754795,0.7257845,0.7043636,50,True,True,False,False,High
Wow Cara is so beautiful. She's tall and she's so poised,surprise,happiness,admiration,admiration,intense,mild,0.69380915,0.1454775,0.44484925,56,False,True,False,False,Medium
the gorgeous,neutral,happiness,neutral,neutral,moderate,mild,0.5272447,0.2910606,0.48266986,12,False,True,False,False,Medium
your superstar,neutral,happiness,neutral,neutral,moderate,mild,0.63544494,0.12221653,0.52233267,14,False,True,False,False,Medium
confidant the ever so graceful,neutral,happiness,neutral,neutral,moderate,mild,0.5663638,0.19621612,0.44232818,30,False,True,False,False,Medium
"It's Cindy she just walked across I was like, whoa",neutral,surprise,neutral,neutral,intense,mild,0.46430892,0.30219287,0.4595741,50,False,True,False,False,Medium
"She is gorgeous. I'm like, yeah, she's from Thailand. She's happy. Hi",neutral,happiness,neutral,neutral,moderate,mild,0.64186734,0.12106406,0.44184852,69,False,True,False,False,Medium
So good to be back and I'm so excited to get to know each and every one of you beautiful ladies this season,neutral,happiness,neutral,admiration,intense,mild,0.6674499,0.117941536,0.3764663,107,False,False,False,False,Low
It's all about celebrating,neutral,happiness,neutral,neutral,moderate,mild,0.532759,0.13678634,0.3930473,26,False,True,False,False,Low
Individuality and bringing out the best of the uniqueness that we see in all of you. We're not just looking for a pretty face,neutral,happiness,neutral,admiration,moderate,mild,0.68031865,0.13877863,0.5069698,125,False,False,False,False,Medium
We are looking for a supermodel a rising star someone who can set herself apart from the rest and stand out from the crowd,neutral,happiness,neutral,admiration,moderate,mild,0.6679764,0.124612704,0.47180882,122,False,False,False,False,Medium
"99% I want to be the Asian list of model, but 100% I want to win",neutral,happiness,neutral,admiration,intense,moderate,0.6058991,0.107341416,0.4007777,64,False,False,False,False,Low
"So on that note ladies, welcome to Asia's next top model",happiness,happiness,excitement,neutral,moderate,mild,0.43547988,0.35123426,0.42168608,56,True,False,False,False,Medium
"So Pia walks out with six male models, which are like half naked",neutral,surprise,neutral,neutral,mild,neutral,0.20229748,0.49201664,0.44465387,64,False,True,False,False,Low
beautiful abs and I'm thinking,neutral,happiness,neutral,neutral,mild,mild,0.5496914,0.16521323,0.4669832,30,False,True,True,False,Low
Damn,neutral,disgust,neutral,disapproval,mild,moderate,0.32063448,0.1962258,0.4227203,4,False,False,False,False,Very Low
So ladies meet your first special guest of the competition,neutral,neutral,neutral,neutral,moderate,neutral,0.46260142,0.68434256,0.6092975,58,True,True,False,False,High
Can't believe that Pia Wurtzbach is actually here,neutral,disgust,neutral,disapproval,moderate,mild,0.3356167,0.17795825,0.39128637,49,False,False,False,False,Very Low
They will be your co-stars for your first,neutral,happiness,neutral,neutral,neutral,mild,0.48157296,0.32390538,0.3928796,41,False,True,False,False,Medium
Gorilla lingerie catwalk challenge and that's happening right now,neutral,neutral,neutral,neutral,moderate,neutral,0.4800847,0.76123935,0.67438596,65,True,True,False,False,High
That's right girls you will be dressed in sexy lingerie as we set up a gorilla catwalk on this very bridge,neutral,happiness,neutral,neutral,moderate,neutral,0.29028857,0.49462998,0.3917103,106,False,True,False,False,Low
Usually I did better in runways and catwalk than Valerie,neutral,happiness,neutral,neutral,mild,mild,0.38920057,0.38022515,0.4058802,56,False,True,True,False,Low
So I'm confident in this challenge that I will win over her,neutral,happiness,neutral,neutral,moderate,mild,0.60070145,0.123295695,0.39235353,59,False,True,False,False,Low
Everyone looks really good in lingerie,neutral,happiness,neutral,admiration,mild,mild,0.6647615,0.1321637,0.437449,38,False,False,True,False,Medium
So intimidating,neutral,fear,neutral,neutral,moderate,moderate,0.22591016,0.2654347,0.40255806,15,False,True,True,False,Very Low
"Hello girls, are you excited for your first challenge?",neutral,happiness,neutral,curiosity,mild,mild,0.5893582,0.651687,0.72694147,54,False,False,True,False,High
When you walk out you have to choose one of the male models to be your co-star as you make your way down the runway,neutral,neutral,neutral,neutral,mild,neutral,0.38938767,0.7381303,0.6062676,115,True,True,False,False,High
"Then when you hit the end of the runway, you'll get another surprise",surprise,neutral,surprise,neutral,moderate,neutral,0.2691494,0.58737326,0.47130835,68,False,False,False,False,Medium
So make sure you put your best foot forward because this is the first time,neutral,neutral,neutral,neutral,moderate,neutral,0.3386929,0.6037214,0.4840274,74,True,True,False,False,High
"All right, I am scared I've never actually been on the runway so it's very nerve-wracking for me",fear,anger,nervousness,disapproval,intense,moderate,0.24371846,0.18190666,0.5114266,96,False,False,False,False,Very Low
If you feel a confident from the inside that's when you show it from the outside and that's what I want to do,neutral,happiness,neutral,neutral,moderate,mild,0.43948948,0.32190502,0.43311626,109,False,True,False,False,Medium
"Not bad, got a little bit of sass and attitude there our sweet Maureen",neutral,disgust,neutral,disapproval,mild,moderate,0.27807483,0.17239758,0.4908926,70,False,False,False,False,Very Low
Pleasantly surprised Valerie,surprise,happiness,surprise,admiration,mild,mild,0.699846,0.12566967,0.4983189,28,False,False,True,False,Medium
Really want to make an impression that me and Valerie we're different in our own ways,neutral,happiness,neutral,neutral,moderate,mild,0.5837955,0.11484194,0.46282098,85,False,True,False,False,Low
This is her twin right Veronica,neutral,neutral,neutral,neutral,mild,neutral,0.569872,0.82598764,0.8095688,31,True,True,False,False,Very High
I like her walk a lot,neutral,happiness,neutral,admiration,mild,mild,0.6609274,0.1284605,0.4502558,21,False,False,True,False,Medium
And her knees gorgeous,neutral,happiness,neutral,neutral,mild,mild,0.6127006,0.19544561,0.49287823,22,False,True,True,False,Medium
"My plan was to be myself, be really laid-back and show who I am.",neutral,happiness,neutral,neutral,mild,mild,0.57624984,0.1676271,0.40952104,64,False,True,True,False,Low
"Oh shit, what should I do, what should I do?",neutral,surprise,neutral,curiosity,intense,mild,0.42509297,0.44991672,0.5945335,44,False,False,False,False,High
I just feel like I need to update this.,neutral,surprise,neutral,neutral,mild,mild,0.2173786,0.30075896,0.42689145,39,False,True,True,False,Very Low
"When I look around all of the girls, the girl who has the best body is me.",neutral,happiness,neutral,neutral,moderate,mild,0.37549382,0.253906,0.5338215,74,False,True,False,False,Low
"Oh, she's fierce.",happiness,happiness,admiration,admiration,mild,moderate,0.5223356,0.1176407,0.4043791,17,True,True,False,False,Low
It's a bit too literal again with the car.,neutral,disgust,neutral,disapproval,mild,moderate,0.35226968,0.1957369,0.4141065,42,False,False,False,False,Very Low
I'm gonna rock it out like Heidi Klum does on the runway.,neutral,happiness,neutral,neutral,moderate,mild,0.49200076,0.21346942,0.3504817,57,False,True,False,False,Low
"All the girls got good walks this year, I'm excited to see that.",neutral,happiness,neutral,admiration,moderate,mild,0.67505354,0.112631515,0.40914676,64,False,False,False,False,Medium
Sweet.,neutral,happiness,neutral,neutral,mild,mild,0.55882186,0.20980966,0.41950768,6,False,True,True,False,Medium
You must be fierce to be fierce.,happiness,happiness,admiration,neutral,mild,moderate,0.47445273,0.18370764,0.37279236,32,True,False,False,False,Low
Fierce.,happiness,happiness,admiration,neutral,mild,mild,0.47920164,0.25777185,0.43184197,7,True,False,True,False,Low
I love the action part.,neutral,happiness,neutral,admiration,mild,mild,0.6470577,0.121337205,0.42489746,23,False,False,True,False,Medium
"Oh my god, it's painful as hell.",neutral,disgust,neutral,disapproval,intense,moderate,0.33298966,0.19836362,0.49743545,32,False,False,False,False,Low
"Since I've done many runways, I feel like I have this down.",neutral,surprise,neutral,neutral,moderate,mild,0.31931195,0.32789227,0.41534787,59,False,True,False,False,Low
Oh shit.,neutral,disgust,neutral,disapproval,moderate,moderate,0.36126572,0.21809237,0.43718633,8,False,False,True,False,Very Low
Well that was anywhere.,neutral,surprise,neutral,neutral,mild,neutral,0.31187406,0.61689925,0.5606619,23,False,True,False,False,High
I was literally not expecting that.,neutral,disgust,neutral,disapproval,moderate,moderate,0.33149767,0.18883643,0.39525136,35,False,False,True,False,Very Low
"Not sure about her walk though, she's a bit clumpy.",neutral,disgust,neutral,confusion,mild,mild,0.3638834,0.18129522,0.4695107,51,False,False,True,False,Very Low
But I like the attitude.,neutral,happiness,neutral,admiration,mild,mild,0.6582839,0.12474117,0.4374062,24,False,False,True,False,Medium
"We have Clara. Oh my god, she's gorgeous.",neutral,happiness,neutral,admiration,moderate,moderate,0.468244,0.101285756,0.43585286,41,False,False,True,False,Very Low
I don't really like her walk.,neutral,disgust,neutral,disapproval,mild,moderate,0.36656922,0.20789054,0.39388722,29,False,False,False,False,Very Low
Beautiful face.,neutral,happiness,neutral,neutral,mild,mild,0.59796727,0.2545548,0.467019,15,False,True,True,False,Medium
Beautiful face.,neutral,happiness,neutral,neutral,moderate,mild,0.59796727,0.2545548,0.467019,15,False,True,False,False,Medium
"Oh, I like that little wink at the end.",neutral,happiness,neutral,admiration,mild,mild,0.63445777,0.1306138,0.42845967,39,False,False,True,False,Medium
I'm not sure about her walk.,neutral,surprise,neutral,curiosity,mild,mild,0.50690514,0.3533637,0.68387014,28,False,False,True,False,High
She just looks like she's walking with her boyfriend down the catwalk.,neutral,surprise,neutral,neutral,mild,mild,0.33587885,0.41394883,0.39160398,70,False,True,True,False,Low
I don't have so much time to change the clothes.,neutral,neutral,neutral,neutral,mild,neutral,0.23311998,0.66811204,0.6322886,48,True,True,False,False,High
I wear the high heels and run like crazy.,neutral,fear,neutral,neutral,moderate,moderate,0.24685922,0.37174386,0.36217245,41,False,True,True,False,Very Low
Because my heart has a little bit like sick.,neutral,disgust,neutral,disapproval,mild,moderate,0.32849136,0.21566184,0.44022754,44,False,False,False,False,Very Low
I cannot breathe when I run.,neutral,sadness,neutral,disapproval,moderate,moderate,0.28084227,0.21334466,0.43797442,28,False,False,True,False,Very Low
Oh my god.,neutral,disgust,neutral,disapproval,mild,moderate,0.31603006,0.21222211,0.4585703,10,False,False,False,False,Very Low
I cannot see anything. I don't get enough oxygen.,neutral,disgust,neutral,disapproval,intense,moderate,0.29582176,0.19518137,0.40185973,49,False,False,False,False,Very Low
It's my time to find my second world.,neutral,surprise,neutral,neutral,moderate,mild,0.2735524,0.36889595,0.3978699,37,False,True,False,False,Low
"If I don't finish this challenge, I will have to go home.",neutral,anger,neutral,disapproval,moderate,moderate,0.23382974,0.17836083,0.50648075,57,False,False,True,False,Very Low
I need to do my challenge.,neutral,neutral,neutral,neutral,moderate,neutral,0.3223612,0.5397969,0.46441483,26,True,True,False,False,Medium
I just try my best.,neutral,happiness,neutral,neutral,moderate,neutral,0.31057134,0.46972793,0.4671422,19,False,True,False,False,Medium
"Oh, damn girl.",neutral,disgust,neutral,disapproval,moderate,moderate,0.3284391,0.19752882,0.49730057,14,False,False,True,False,Low
She's burning up that catwalk.,neutral,anger,neutral,disapproval,moderate,moderate,0.29582325,0.21858767,0.51960933,30,False,False,True,False,Low
She's got a lot of attitude.,neutral,happiness,neutral,admiration,mild,mild,0.6536943,0.119871646,0.4970988,28,False,False,True,False,Medium
No way.,neutral,disgust,neutral,disapproval,mild,moderate,0.31137794,0.20232047,0.37527916,7,False,False,False,False,Very Low
This is a challenge.,neutral,fear,neutral,neutral,neutral,moderate,0.2973779,0.29344442,0.36996198,20,False,True,False,False,Very Low
This competition means a lot to me,neutral,happiness,neutral,admiration,moderate,mild,0.65980697,0.123305425,0.39949012,34,False,False,False,False,Medium
because I wanted to do something to get out of my comfort zone,neutral,happiness,neutral,optimism,moderate,moderate,0.35718095,0.09904538,0.4558617,62,False,False,True,False,Very Low
and prove myself and everyone that I can do it.,neutral,happiness,neutral,optimism,moderate,moderate,0.5638035,0.11725089,0.38931495,47,False,False,True,False,Low
"Usually, Veronika always do the runway better than me.",neutral,happiness,neutral,neutral,neutral,mild,0.42764485,0.2813249,0.44843966,54,False,True,False,False,Low
"But this time, I will prove to Veronika that I can do better.",neutral,happiness,neutral,optimism,moderate,mild,0.60172665,0.11351016,0.38682812,61,False,False,False,False,Low
"Three years ago, I already tried to be here and I never give up.",neutral,happiness,neutral,neutral,intense,moderate,0.2316893,0.20424141,0.41781563,64,False,True,False,False,Very Low
"So, this is just a dream come true.",neutral,happiness,neutral,admiration,intense,mild,0.6451996,0.122756675,0.38728678,35,False,False,False,False,Low
"To win this, I'm just going to focus on myself.",neutral,happiness,neutral,neutral,moderate,moderate,0.5153667,0.14324898,0.3676334,47,False,True,True,False,Low
I'm going to give my best.,neutral,happiness,neutral,neutral,intense,moderate,0.5410399,0.14986168,0.36074603,26,False,True,False,False,Low
My strategy for this competition is to be consistent in what I want,neutral,happiness,neutral,neutral,moderate,neutral,0.3335645,0.5086613,0.4742913,67,False,True,False,False,Medium
I'm not just an ordinary girl.,neutral,neutral,neutral,neutral,moderate,neutral,0.37768564,0.5967555,0.59042513,30,True,True,False,False,High
I think I have the potential and the body to be a great top model.,happiness,happiness,pride,admiration,moderate,mild,0.6700664,0.12999545,0.42899913,66,True,False,False,False,Medium
"Making it to this competition, it's a huge deal.",neutral,happiness,neutral,admiration,intense,mild,0.649063,0.115465,0.4148993,48,False,False,False,False,Low
I wish to make it to the finish line and emerge first.,neutral,happiness,neutral,neutral,intense,mild,0.5402207,0.16267328,0.3650406,54,False,True,False,False,Low
I think I deserve to be in Asia's Next Top Model,happiness,happiness,pride,admiration,moderate,mild,0.6582794,0.1293549,0.41641158,48,True,False,False,False,Medium
because I'm a very hardworking girl.,neutral,happiness,neutral,admiration,moderate,mild,0.6516685,0.11784078,0.4211208,36,False,False,False,False,Medium
I'm just going to put everything I have and nail it.,neutral,happiness,neutral,neutral,intense,moderate,0.39053053,0.2765478,0.3302992,52,False,True,False,False,Very Low
and prove to myself that I can make it in the modeling industry.,neutral,happiness,neutral,admiration,intense,mild,0.6183039,0.1102125,0.41810217,64,False,False,False,False,Low
Great job!,neutral,happiness,neutral,admiration,mild,mild,0.6922174,0.12446378,0.44522306,10,False,False,True,False,Medium
I see the judges at the end of the runway.,neutral,neutral,neutral,neutral,moderate,neutral,0.5558265,0.83509094,0.8142471,42,True,True,False,False,Very High
I don't know what's going on in their head.,neutral,surprise,neutral,curiosity,moderate,mild,0.47802025,0.34456098,0.63341033,43,False,False,False,False,High
I feel like I own it and I have a chance to win the challenge.,neutral,happiness,neutral,admiration,moderate,mild,0.63378567,0.12240042,0.3826377,62,False,False,False,False,Low
People talk about my heart is sick.,neutral,disgust,neutral,disapproval,moderate,moderate,0.31547508,0.23118788,0.55186933,35,False,False,True,False,Low
I come here to win this competition.,neutral,happiness,neutral,neutral,intense,mild,0.5382275,0.16707297,0.38071322,36,False,True,False,False,Low
I think we got a good group of girls this year.,neutral,happiness,neutral,admiration,mild,mild,0.64627796,0.107970245,0.40471533,47,False,False,True,False,Low
Yes! Yes!,neutral,happiness,neutral,neutral,intense,moderate,0.4152707,0.20980832,0.3603109,9,False,True,False,False,Very Low
"I see the pool and I'm like, I am in Bali.",neutral,surprise,neutral,neutral,intense,neutral,0.36248434,0.45998558,0.42309663,42,False,True,False,False,Medium
"It's so surreal being in this competition, staying in a house like this.",neutral,happiness,neutral,neutral,moderate,mild,0.5481084,0.10353459,0.42316833,72,False,True,False,False,Low
"Goodies! Oh my God, yes. Freestyle.",neutral,disgust,neutral,disapproval,intense,moderate,0.29097015,0.21534091,0.46235815,35,False,False,False,False,Very Low
We have all strong personalities.,neutral,happiness,neutral,neutral,neutral,mild,0.5221815,0.3193733,0.43940744,33,False,True,False,False,Medium
"So guys, this is the rowdy Malaysian.",neutral,surprise,neutral,neutral,mild,mild,0.24399802,0.36291674,0.3872787,37,False,True,True,False,Very Low
I'm the nice one.,neutral,happiness,neutral,neutral,mild,mild,0.5844263,0.22528027,0.43490836,17,False,True,True,False,Medium
It's good because we can talk to each other but it's bad at the same time,neutral,fear,neutral,neutral,moderate,mild,0.18090281,0.33348545,0.36010975,73,False,True,False,False,Very Low
I knew it!,neutral,surprise,neutral,neutral,moderate,mild,0.27657998,0.24031207,0.4709228,10,False,True,False,False,Very Low
"If I talk to Veronica and then maybe after five minutes I talk to Valeria,",neutral,neutral,neutral,neutral,mild,neutral,0.41803992,0.73602843,0.66694164,74,True,True,False,False,High
I cannot tell the difference.,neutral,surprise,neutral,neutral,mild,mild,0.35956937,0.2701281,0.5461771,29,False,True,True,False,Low
It's just so awkward.,neutral,disgust,neutral,disapproval,moderate,moderate,0.34806558,0.22322676,0.47703776,21,False,False,True,False,Low
"I mean, sorry, first day.",neutral,sadness,neutral,disapproval,mild,moderate,0.3133214,0.19267309,0.39195037,25,False,False,False,False,Very Low
"Living with the other six girls, I don't know what to feel.",neutral,surprise,neutral,confusion,moderate,mild,0.32113624,0.2548656,0.5296593,59,False,False,False,False,Low
I just hope that there's less drama.,neutral,happiness,neutral,neutral,neutral,moderate,0.2457696,0.24361807,0.44301918,36,False,True,False,False,Very Low
"I just hope for the best, I think.",neutral,happiness,neutral,neutral,neutral,moderate,0.5281242,0.16502082,0.35490125,34,False,True,False,False,Low
"In order to keep you on your toes throughout this competition,",neutral,happiness,neutral,neutral,mild,mild,0.45505473,0.24678741,0.3785787,62,False,True,True,False,Low
"As you've all successfully completed your first challenge,",neutral,neutral,neutral,neutral,mild,neutral,0.38078043,0.52488726,0.5145763,58,True,True,False,False,High
"Good luck, girls.",neutral,happiness,neutral,neutral,neutral,mild,0.5230632,0.22295766,0.34822935,17,False,True,False,False,Low
"Good luck, girls.",neutral,happiness,neutral,neutral,mild,mild,0.5230632,0.22295766,0.34822935,17,False,True,True,False,Low
Yes!,neutral,happiness,neutral,neutral,intense,mild,0.34732306,0.2979387,0.3413219,4,False,True,False,False,Very Low
Yes!,neutral,happiness,neutral,neutral,mild,mild,0.34732306,0.2979387,0.3413219,4,False,True,True,False,Very Low
Yes!,neutral,happiness,neutral,neutral,moderate,mild,0.34732306,0.2979387,0.3413219,4,False,True,False,False,Very Low
It's me!,neutral,neutral,neutral,neutral,intense,neutral,0.33336306,0.5366849,0.49827316,8,True,True,False,False,Medium
I'm so happy.,neutral,happiness,neutral,neutral,intense,mild,0.62048846,0.12565282,0.37719887,13,False,True,False,False,Low
Good!,neutral,happiness,neutral,neutral,mild,mild,0.58981496,0.1828588,0.40208876,5,False,True,True,False,Low
And I got second!,neutral,neutral,neutral,neutral,moderate,neutral,0.3321476,0.43614885,0.39740723,17,True,True,False,False,Low
What? Second?,neutral,surprise,neutral,curiosity,moderate,mild,0.47421664,0.5432641,0.71249384,13,False,False,False,False,High
"Valerie, what are you doing to me, man?",neutral,surprise,neutral,curiosity,moderate,mild,0.43201774,0.42033255,0.60809803,39,False,False,False,False,High
You're taking my place.,neutral,neutral,neutral,neutral,moderate,neutral,0.26980785,0.6705656,0.64085686,23,True,True,False,False,High
It's supposed to be me.,neutral,surprise,neutral,neutral,moderate,neutral,0.28985348,0.6394019,0.56851506,23,False,True,False,False,High
"Oh, my God!",neutral,disgust,neutral,disapproval,intense,moderate,0.29805225,0.20952043,0.513166,11,False,False,False,False,Low
I'm in top five.,neutral,neutral,neutral,neutral,intense,neutral,0.39918804,0.5767218,0.57341456,16,True,True,False,False,High
"And I'm pretty happy that all the Filipino girls are, you know, in the top five.",neutral,happiness,neutral,admiration,moderate,mild,0.6621715,0.11217181,0.43524024,80,False,False,False,False,Medium
"So, watch out for the Philippines!",neutral,neutral,neutral,neutral,moderate,neutral,0.40498874,0.65273863,0.5615299,34,True,True,False,False,High
Whose name is on there?,neutral,happiness,neutral,curiosity,mild,mild,0.4224885,0.7017097,0.75061136,23,False,False,True,False,High
Mine?,neutral,surprise,neutral,curiosity,mild,mild,0.49905825,0.59808195,0.7296647,5,False,False,True,False,High
"Namita, you're not in.",neutral,disgust,neutral,neutral,moderate,neutral,0.27500024,0.55383724,0.44481418,22,False,True,False,False,Medium
"Oh, my God.",neutral,disgust,neutral,disapproval,mild,moderate,0.32246286,0.21436754,0.49186176,11,False,False,False,False,Low
"F**k me, man.",neutral,disgust,neutral,disapproval,intense,moderate,0.29774752,0.1964188,0.47780183,13,False,False,False,False,Very Low
I didn't perform as how I wanted to or like how I would have.,neutral,disgust,neutral,disapproval,moderate,moderate,0.31092817,0.16715379,0.38925293,61,False,False,True,False,Very Low
"Okay, bye, girls.",neutral,neutral,neutral,neutral,mild,neutral,0.2501862,0.6929102,0.63224083,17,True,True,False,False,High
"Don't say that, no.",neutral,disgust,neutral,disapproval,neutral,moderate,0.30371848,0.2028315,0.40601644,19,False,False,False,False,Very Low
Cindy Miao! Cindy Miao!,neutral,surprise,neutral,neutral,moderate,moderate,0.22248419,0.24495834,0.38007134,23,False,True,True,False,Very Low
Check your old self and step up with confidence.,neutral,happiness,neutral,neutral,moderate,mild,0.46474057,0.25033274,0.36536813,48,False,True,False,False,Low
Because you just might run into the new you.,neutral,disgust,neutral,disapproval,moderate,moderate,0.28688002,0.20695098,0.44094646,44,False,False,True,False,Very Low
"Love, Cindy Miao.",neutral,neutral,neutral,neutral,mild,neutral,0.5845398,0.78984684,0.7443653,17,True,True,False,False,Very High
Is that makeover?,neutral,happiness,neutral,curiosity,mild,mild,0.40526062,0.696896,0.7641019,17,False,False,True,False,High
Who is that?,neutral,surprise,neutral,curiosity,mild,mild,0.42526263,0.65912867,0.7504235,12,False,False,True,False,High
It's either a makeover or a snake.,neutral,surprise,neutral,confusion,mild,mild,0.29525155,0.23706543,0.49439293,34,False,False,True,False,Low
It's something to do with a snake.,neutral,disgust,neutral,disapproval,mild,moderate,0.35479498,0.17867427,0.40612495,34,False,False,False,False,Very Low
"We're all speculating, like, what could it be?",neutral,surprise,neutral,curiosity,moderate,mild,0.45872468,0.6063828,0.7123414,46,False,False,False,False,High
But as a theme is expect the unexpected.,surprise,surprise,curiosity,neutral,mild,neutral,0.22980042,0.5290215,0.4265766,40,True,False,False,False,Medium
"I have no idea, but I'm excited to find out.",neutral,happiness,neutral,neutral,moderate,mild,0.35099772,0.17031316,0.48024568,44,False,True,False,False,Very Low
"Welcome, ladies, to your first photo challenge.",neutral,neutral,neutral,neutral,moderate,neutral,0.36868644,0.53990716,0.4952631,47,True,True,False,False,Medium
It's all about high fashion and high energy.,neutral,happiness,neutral,neutral,moderate,mild,0.578395,0.13025163,0.39674324,44,False,True,False,False,Low
And the theme is runaway model.,neutral,disgust,neutral,neutral,neutral,mild,0.2759205,0.23708016,0.4058583,31,False,True,False,False,Very Low
and now we're running again.,neutral,disgust,neutral,neutral,neutral,moderate,0.23250683,0.26481703,0.33907443,28,False,True,False,False,Very Low
"Okay, let's do this.",neutral,neutral,neutral,neutral,moderate,neutral,0.51824,0.700032,0.7118313,20,True,True,False,False,High
"Congratulations, ladies,",neutral,neutral,neutral,neutral,moderate,neutral,0.38583764,0.5005164,0.50976247,24,True,True,False,False,Medium
on making it to your first photo challenge.,neutral,neutral,neutral,neutral,moderate,neutral,0.42642394,0.64953643,0.5826783,43,True,True,False,False,High
Success on this competition,neutral,happiness,neutral,neutral,moderate,mild,0.42809346,0.39801803,0.38711888,27,False,True,False,False,Medium
almost guarantees you success in the industry.,neutral,happiness,neutral,optimism,moderate,mild,0.6104657,0.108954936,0.38814282,46,False,False,False,False,Low
So we want you excited.,neutral,happiness,neutral,neutral,moderate,mild,0.60677475,0.15962067,0.3968329,23,False,True,False,False,Low
We want you motivated.,neutral,happiness,neutral,neutral,mild,mild,0.59170395,0.16647658,0.41616827,22,False,True,True,False,Low
"Are you ready, girls?",neutral,happiness,neutral,curiosity,mild,mild,0.4631816,0.716465,0.7423551,21,False,False,True,False,High
