text,true_emotion,pred_emotion,true_sub_emotion,pred_sub_emotion,true_intensity,pred_intensity,emotion_confidence,sub_emotion_confidence,intensity_confidence,text_length,emotion_correct,sub_emotion_correct,intensity_correct,all_correct,confidence_level
I'm Cara G McElroy and I am your model mentor for this season of Asia's Next Top Model,happiness,happiness,pride,neutral,moderate,neutral,0.36053517,0.46988153,0.52023804,86,True,False,False,False,Medium
I've worked for many global ad campaigns and worked alongside,neutral,neutral,neutral,neutral,moderate,neutral,0.35589674,0.4762284,0.5254232,61,True,True,False,False,Medium
Supermodels like Cindy Crawford and Naomi Campbell,neutral,happiness,neutral,neutral,moderate,mild,0.44742364,0.4260314,0.4087065,50,False,True,False,False,Medium
Wow Cara is so beautiful. She's tall and she's so poised,surprise,happiness,admiration,admiration,intense,mild,0.707732,0.15166445,0.48222563,56,False,True,False,False,Medium
the gorgeous,neutral,happiness,neutral,admiration,moderate,mild,0.75029695,0.16941261,0.5044109,12,False,False,False,False,Medium
your superstar,neutral,happiness,neutral,admiration,moderate,mild,0.7092452,0.14411123,0.46618995,14,False,False,False,False,Medium
confidant the ever so graceful,neutral,happiness,neutral,admiration,moderate,mild,0.71326494,0.16223517,0.4327235,30,False,False,False,False,Medium
"It's Cindy she just walked across I was like, whoa",neutral,surprise,neutral,neutral,intense,neutral,0.3178192,0.5125879,0.5146575,50,False,True,False,False,Medium
"She is gorgeous. I'm like, yeah, she's from Thailand. She's happy. Hi",neutral,happiness,neutral,admiration,moderate,mild,0.7405927,0.15678677,0.4452233,69,False,False,False,False,Medium
So good to be back and I'm so excited to get to know each and every one of you beautiful ladies this season,neutral,happiness,neutral,admiration,intense,mild,0.73242575,0.14836928,0.45052084,107,False,False,False,False,Medium
It's all about celebrating,neutral,happiness,neutral,neutral,moderate,mild,0.5796914,0.16086946,0.49838874,26,False,True,False,False,Low
Individuality and bringing out the best of the uniqueness that we see in all of you. We're not just looking for a pretty face,neutral,happiness,neutral,admiration,moderate,mild,0.69088495,0.12616396,0.41590518,125,False,False,False,False,Low
We are looking for a supermodel a rising star someone who can set herself apart from the rest and stand out from the crowd,neutral,happiness,neutral,neutral,moderate,mild,0.6424982,0.14742431,0.42883176,122,False,True,False,False,Low
"99% I want to be the Asian list of model, but 100% I want to win",neutral,happiness,neutral,neutral,intense,mild,0.65433747,0.12117133,0.3843897,64,False,True,False,False,Low
14 beautiful women from all across Asia,neutral,happiness,neutral,neutral,neutral,mild,0.7423731,0.15596937,0.4592174,39,False,True,False,False,Medium
"So on that note ladies, welcome to Asia's next top model",happiness,happiness,excitement,neutral,moderate,mild,0.7048702,0.15792361,0.42477363,56,True,False,False,False,Medium
"So Pia walks out with six male models, which are like half naked",neutral,anger,neutral,disapproval,mild,moderate,0.23170717,0.18052194,0.509343,64,False,False,False,False,Very Low
beautiful abs and I'm thinking,neutral,happiness,neutral,neutral,mild,mild,0.5466196,0.19524653,0.49149835,30,False,True,True,False,Low
Damn,neutral,disgust,neutral,neutral,mild,moderate,0.2077103,0.19904962,0.41361433,4,False,True,False,False,Very Low
So ladies meet your first special guest of the competition,neutral,happiness,neutral,neutral,moderate,mild,0.6234977,0.2798054,0.50192624,58,False,True,False,False,Medium
Can't believe that Pia Wurtzbach is actually here,neutral,surprise,neutral,confusion,moderate,mild,0.3233553,0.33953404,0.4308723,49,False,False,False,False,Low
They will be your co-stars for your first,neutral,happiness,neutral,neutral,neutral,mild,0.5827729,0.12570313,0.3651716,41,False,True,False,False,Low
Gorilla lingerie catwalk challenge and that's happening right now,neutral,neutral,neutral,neutral,moderate,neutral,0.34719628,0.5852338,0.45576093,65,True,True,False,False,Medium
That's right girls you will be dressed in sexy lingerie as we set up a gorilla catwalk on this very bridge,neutral,happiness,neutral,neutral,moderate,mild,0.35115185,0.19897297,0.36495718,106,False,True,False,False,Very Low
Usually I did better in runways and catwalk than Valerie,neutral,happiness,neutral,neutral,mild,mild,0.55849534,0.14690287,0.39687827,56,False,True,True,False,Low
So I'm confident in this challenge that I will win over her,neutral,happiness,neutral,admiration,moderate,mild,0.685455,0.13476145,0.40088362,59,False,False,False,False,Low
Everyone looks really good in lingerie,neutral,happiness,neutral,admiration,mild,mild,0.7518288,0.16082537,0.4957021,38,False,False,True,False,Medium
So intimidating,neutral,sadness,neutral,disapproval,moderate,moderate,0.2290549,0.1590698,0.51841545,15,False,False,True,False,Very Low
"Hello girls, are you excited for your first challenge?",neutral,happiness,neutral,curiosity,mild,mild,0.76865166,0.4266126,0.75105387,54,False,False,True,False,High
When you walk out you have to choose one of the male models to be your co-star as you make your way down the runway,neutral,neutral,neutral,neutral,mild,neutral,0.30900055,0.47676188,0.47333768,115,True,True,False,False,Low
"Then when you hit the end of the runway, you'll get another surprise",surprise,happiness,surprise,neutral,moderate,mild,0.30084905,0.33274454,0.36288053,68,False,False,False,False,Very Low
So make sure you put your best foot forward because this is the first time,neutral,neutral,neutral,neutral,moderate,neutral,0.30733684,0.3723096,0.43309748,74,True,True,False,False,Low
"All right, I am scared I've never actually been on the runway so it's very nerve-wracking for me",fear,sadness,nervousness,disapproval,intense,moderate,0.3439152,0.12944075,0.47803882,96,False,False,False,False,Very Low
If you feel a confident from the inside that's when you show it from the outside and that's what I want to do,neutral,happiness,neutral,neutral,moderate,mild,0.45550874,0.25395703,0.42468727,109,False,True,False,False,Low
"Not bad, got a little bit of sass and attitude there our sweet Maureen",neutral,sadness,neutral,disapproval,mild,moderate,0.30588016,0.20019762,0.5726363,70,False,False,False,False,Low
Pleasantly surprised Valerie,surprise,happiness,surprise,admiration,mild,mild,0.7069431,0.14748913,0.45278773,28,False,False,True,False,Medium
Really want to make an impression that me and Valerie we're different in our own ways,neutral,happiness,neutral,neutral,moderate,mild,0.54572934,0.119518556,0.46237645,85,False,True,False,False,Low
This is her twin right Veronica,neutral,neutral,neutral,neutral,mild,neutral,0.61629254,0.87277746,0.82504493,31,True,True,False,False,Very High
I like her walk a lot,neutral,happiness,neutral,admiration,mild,mild,0.7780472,0.1611251,0.52434283,21,False,False,True,False,High
And her knees gorgeous,neutral,happiness,neutral,admiration,mild,mild,0.76569575,0.1698887,0.5019339,22,False,False,True,False,High
"My plan was to be myself, be really laid-back and show who I am.",neutral,happiness,neutral,neutral,mild,mild,0.49576056,0.23263639,0.34823096,64,False,True,True,False,Low
"Oh shit, what should I do, what should I do?",neutral,surprise,neutral,confusion,intense,mild,0.43473443,0.34773508,0.55335194,44,False,False,False,False,Medium
I just feel like I need to update this.,neutral,neutral,neutral,neutral,mild,neutral,0.4254395,0.56424105,0.5821687,39,True,True,False,False,High
"When I look around all of the girls, the girl who has the best body is me.",neutral,happiness,neutral,neutral,moderate,mild,0.62498486,0.12631224,0.4837281,74,False,True,False,False,Low
It's a bit too literal again with the car.,neutral,disgust,neutral,confusion,mild,moderate,0.2743373,0.19328737,0.39374366,42,False,False,False,False,Very Low
I'm gonna rock it out like Heidi Klum does on the runway.,neutral,happiness,neutral,neutral,moderate,neutral,0.48953527,0.20374148,0.32338765,57,False,True,False,False,Very Low
"All the girls got good walks this year, I'm excited to see that.",neutral,happiness,neutral,admiration,moderate,mild,0.76926047,0.15885766,0.4744105,64,False,False,False,False,Medium
Sweet.,neutral,happiness,neutral,admiration,mild,mild,0.73006684,0.16220312,0.49477896,6,False,False,True,False,Medium
You must be fierce to be fierce.,happiness,happiness,admiration,neutral,mild,moderate,0.32243276,0.16380593,0.4031728,32,True,False,False,False,Very Low
Fierce.,happiness,happiness,admiration,neutral,mild,mild,0.60868424,0.12584578,0.43410623,7,True,False,True,False,Low
I love the action part.,neutral,happiness,neutral,admiration,mild,mild,0.7407987,0.15664594,0.5332699,23,False,False,True,False,Medium
"Oh my god, it's painful as hell.",neutral,anger,neutral,disapproval,intense,moderate,0.23163372,0.21569057,0.57020766,32,False,False,False,False,Very Low
"Since I've done many runways, I feel like I have this down.",neutral,neutral,neutral,neutral,moderate,mild,0.2254704,0.2486849,0.36093614,59,True,True,False,False,Very Low
Oh shit.,neutral,anger,neutral,disapproval,moderate,moderate,0.24876307,0.16776338,0.43036017,8,False,False,True,False,Very Low
Well that was anywhere.,neutral,neutral,neutral,neutral,mild,neutral,0.47441265,0.8218805,0.7584637,23,True,True,False,False,Very High
I was literally not expecting that.,neutral,surprise,neutral,disapproval,moderate,moderate,0.2088607,0.16227643,0.37147853,35,False,False,True,False,Very Low
"Not sure about her walk though, she's a bit clumpy.",neutral,surprise,neutral,confusion,mild,mild,0.2892989,0.2790494,0.4542692,51,False,False,True,False,Low
But I like the attitude.,neutral,happiness,neutral,admiration,mild,mild,0.776428,0.15706314,0.56347454,24,False,False,True,False,High
"We have Clara. Oh my god, she's gorgeous.",neutral,happiness,neutral,admiration,moderate,mild,0.60822237,0.13287896,0.51346934,41,False,False,False,False,Low
I don't really like her walk.,neutral,disgust,neutral,disapproval,mild,moderate,0.33785322,0.24779974,0.5059014,29,False,False,False,False,Low
Beautiful face.,neutral,happiness,neutral,admiration,mild,mild,0.73534864,0.16310503,0.49265766,15,False,False,True,False,Medium
Beautiful face.,neutral,happiness,neutral,admiration,moderate,mild,0.73534864,0.16310503,0.49265766,15,False,False,False,False,Medium
"Oh, I like that little wink at the end.",neutral,happiness,neutral,admiration,mild,mild,0.6773166,0.14641744,0.5325353,39,False,False,True,False,Medium
I'm not sure about her walk.,neutral,surprise,neutral,curiosity,mild,mild,0.497236,0.3522143,0.6866017,28,False,False,True,False,High
She just looks like she's walking with her boyfriend down the catwalk.,neutral,surprise,neutral,neutral,mild,mild,0.20394588,0.13458148,0.40837497,70,False,True,True,False,Very Low
I don't have so much time to change the clothes.,neutral,neutral,neutral,neutral,mild,neutral,0.39990813,0.7166053,0.6888584,48,True,True,False,False,High
I wear the high heels and run like crazy.,neutral,neutral,neutral,neutral,moderate,neutral,0.24183422,0.28792194,0.33460042,41,True,True,False,False,Very Low
Because my heart has a little bit like sick.,neutral,sadness,neutral,disapproval,mild,moderate,0.36581257,0.15463583,0.48216376,44,False,False,False,False,Very Low
I cannot breathe when I run.,neutral,sadness,neutral,neutral,moderate,moderate,0.3084165,0.15834683,0.46916184,28,False,True,True,False,Very Low
Oh my god.,neutral,surprise,neutral,confusion,mild,mild,0.33889467,0.23516755,0.40809482,10,False,False,True,False,Very Low
I cannot see anything. I don't get enough oxygen.,neutral,fear,neutral,neutral,intense,moderate,0.29017183,0.32971907,0.3830028,49,False,True,False,False,Very Low
It's my time to find my second world.,neutral,neutral,neutral,neutral,moderate,neutral,0.28724247,0.337148,0.38951126,37,True,True,False,False,Very Low
"If I don't finish this challenge, I will have to go home.",neutral,sadness,neutral,neutral,moderate,moderate,0.3067512,0.24990283,0.4092027,57,False,True,True,False,Very Low
I need to do my challenge.,neutral,happiness,neutral,neutral,moderate,mild,0.4632036,0.28206554,0.3675911,26,False,True,False,False,Low
I just try my best.,neutral,happiness,neutral,neutral,moderate,mild,0.4770825,0.22941281,0.34820154,19,False,True,False,False,Low
"Oh, damn girl.",neutral,anger,neutral,disapproval,moderate,moderate,0.26939824,0.20769893,0.5128701,14,False,False,True,False,Very Low
She's burning up that catwalk.,neutral,anger,neutral,disapproval,moderate,moderate,0.260307,0.17411582,0.5215911,30,False,False,True,False,Very Low
She's got a lot of attitude.,neutral,happiness,neutral,admiration,mild,mild,0.60049313,0.13456687,0.5252408,28,False,False,True,False,Medium
No way.,neutral,fear,neutral,neutral,mild,neutral,0.2304074,0.60663885,0.5064164,7,False,True,False,False,Medium
This is a challenge.,neutral,sadness,neutral,disapproval,neutral,moderate,0.32045716,0.15879522,0.48266587,20,False,False,False,False,Very Low
This competition means a lot to me,neutral,happiness,neutral,admiration,moderate,mild,0.74756336,0.14931332,0.5035643,34,False,False,False,False,Medium
because I wanted to do something to get out of my comfort zone,neutral,happiness,neutral,neutral,moderate,moderate,0.36622894,0.09681864,0.371573,62,False,True,True,False,Very Low
and prove myself and everyone that I can do it.,neutral,happiness,neutral,neutral,moderate,neutral,0.48424986,0.19745293,0.32026216,47,False,True,False,False,Very Low
"Usually, Veronika always do the runway better than me.",neutral,happiness,neutral,admiration,neutral,mild,0.6563524,0.12125232,0.4455812,54,False,False,False,False,Low
"But this time, I will prove to Veronika that I can do better.",neutral,happiness,neutral,neutral,moderate,moderate,0.5434645,0.15456362,0.33424693,61,False,True,True,False,Low
"Three years ago, I already tried to be here and I never give up.",neutral,happiness,neutral,neutral,intense,moderate,0.23986265,0.18541327,0.33409742,64,False,True,False,False,Very Low
"So, this is just a dream come true.",neutral,happiness,neutral,admiration,intense,mild,0.7282519,0.15073258,0.4213311,35,False,False,False,False,Medium
"To win this, I'm just going to focus on myself.",neutral,happiness,neutral,neutral,moderate,neutral,0.3097739,0.29923093,0.42128828,47,False,True,False,False,Low
I'm going to give my best.,neutral,happiness,neutral,neutral,intense,mild,0.59163463,0.1712534,0.3606363,26,False,True,False,False,Low
My strategy for this competition is to be consistent in what I want,neutral,happiness,neutral,neutral,moderate,neutral,0.39825282,0.358165,0.4068551,67,False,True,False,False,Low
I'm not just an ordinary girl.,neutral,neutral,neutral,neutral,moderate,neutral,0.39604843,0.6131153,0.5877618,30,True,True,False,False,High
I think I have the potential and the body to be a great top model.,happiness,happiness,pride,admiration,moderate,mild,0.7843029,0.15559022,0.48390424,66,True,False,False,False,Medium
"Making it to this competition, it's a huge deal.",neutral,happiness,neutral,admiration,intense,mild,0.7039553,0.13536426,0.41750893,48,False,False,False,False,Low
I wish to make it to the finish line and emerge first.,neutral,happiness,neutral,neutral,intense,mild,0.5333725,0.19677289,0.34312463,54,False,True,False,False,Low
I think I deserve to be in Asia's Next Top Model,happiness,happiness,pride,admiration,moderate,mild,0.7333542,0.1366648,0.422207,48,True,False,False,False,Medium
because I'm a very hardworking girl.,neutral,happiness,neutral,admiration,moderate,mild,0.68753964,0.13528995,0.397631,36,False,False,False,False,Low
I'm just going to put everything I have and nail it.,neutral,happiness,neutral,neutral,intense,neutral,0.41078675,0.2727263,0.37857115,52,False,True,False,False,Low
and prove to myself that I can make it in the modeling industry.,neutral,happiness,neutral,neutral,intense,mild,0.5567184,0.18471205,0.3337667,64,False,True,False,False,Low
Great job!,neutral,happiness,neutral,admiration,mild,mild,0.7229578,0.15910168,0.47497448,10,False,False,True,False,Medium
I see the judges at the end of the runway.,neutral,neutral,neutral,neutral,moderate,neutral,0.5969322,0.86183685,0.82324535,42,True,True,False,False,Very High
I don't know what's going on in their head.,neutral,surprise,neutral,curiosity,moderate,mild,0.44464993,0.5261241,0.73425716,43,False,False,False,False,High
I feel like I own it and I have a chance to win the challenge.,neutral,happiness,neutral,admiration,moderate,mild,0.6335058,0.12184643,0.36370578,62,False,False,False,False,Low
People talk about my heart is sick.,neutral,sadness,neutral,disapproval,moderate,moderate,0.3188043,0.1939949,0.5280323,35,False,False,True,False,Low
I come here to win this competition.,neutral,happiness,neutral,neutral,intense,mild,0.55997986,0.206224,0.35280406,36,False,True,False,False,Low
I think we got a good group of girls this year.,neutral,happiness,neutral,admiration,mild,mild,0.78379726,0.15912479,0.4954712,47,False,False,True,False,High
Yes! Yes!,neutral,neutral,neutral,neutral,intense,neutral,0.33563152,0.4743379,0.48638505,9,True,True,False,False,Medium
"I see the pool and I'm like, I am in Bali.",neutral,neutral,neutral,neutral,intense,neutral,0.41418484,0.7103084,0.6312252,42,True,True,False,False,High
"It's so surreal being in this competition, staying in a house like this.",neutral,happiness,neutral,admiration,moderate,mild,0.64969707,0.1188425,0.46344692,72,False,False,False,False,Low
"Goodies! Oh my God, yes. Freestyle.",neutral,surprise,neutral,confusion,intense,mild,0.30371568,0.15416098,0.45187727,35,False,False,False,False,Very Low
We have all strong personalities.,neutral,happiness,neutral,neutral,neutral,mild,0.6865893,0.20798081,0.4296977,33,False,True,False,False,Medium
"So guys, this is the rowdy Malaysian.",neutral,neutral,neutral,neutral,mild,neutral,0.40642214,0.7288723,0.60558444,37,True,True,False,False,High
I'm the nice one.,neutral,happiness,neutral,neutral,mild,mild,0.69762814,0.16836585,0.40743226,17,False,True,True,False,Medium
It's good because we can talk to each other but it's bad at the same time,neutral,fear,neutral,neutral,moderate,moderate,0.23115252,0.28252733,0.42983392,73,False,True,True,False,Very Low
I knew it!,neutral,neutral,neutral,neutral,moderate,neutral,0.37253693,0.565796,0.5387954,10,True,True,False,False,High
"If I talk to Veronica and then maybe after five minutes I talk to Valeria,",neutral,neutral,neutral,neutral,mild,neutral,0.42575008,0.73520386,0.6311643,74,True,True,False,False,High
I cannot tell the difference.,neutral,surprise,neutral,neutral,mild,mild,0.41236302,0.42201343,0.42678893,29,False,True,True,False,Medium
It's just so awkward.,neutral,sadness,neutral,disapproval,moderate,moderate,0.28926617,0.20464374,0.5161794,21,False,False,True,False,Very Low
"I mean, sorry, first day.",neutral,sadness,neutral,neutral,mild,moderate,0.33673468,0.17967093,0.34553343,25,False,True,False,False,Very Low
"Living with the other six girls, I don't know what to feel.",neutral,surprise,neutral,neutral,moderate,mild,0.3675283,0.39608043,0.4505375,59,False,True,False,False,Low
I just hope that there's less drama.,neutral,happiness,neutral,neutral,neutral,mild,0.44057223,0.22683631,0.3906237,36,False,True,False,False,Low
"I just hope for the best, I think.",neutral,happiness,neutral,admiration,neutral,mild,0.65766525,0.12443359,0.4025522,34,False,False,False,False,Low
Welcome to your new model house.,neutral,happiness,neutral,neutral,neutral,neutral,0.54809403,0.34947336,0.37026885,32,False,True,True,False,Medium
"In order to keep you on your toes throughout this competition,",neutral,happiness,neutral,neutral,mild,mild,0.48044643,0.22417863,0.34216514,62,False,True,True,False,Low
each of you will earn a score after every challenge and photo shoot.,neutral,happiness,neutral,neutral,neutral,mild,0.4974754,0.26914766,0.34369648,68,False,True,False,False,Low
"As you've all successfully completed your first challenge,",neutral,happiness,neutral,neutral,mild,mild,0.6148782,0.20279165,0.39754954,58,False,True,True,False,Low
"Good luck, girls.",neutral,happiness,neutral,admiration,neutral,mild,0.6937344,0.15603656,0.4196241,17,False,False,False,False,Medium
"Good luck, girls.",neutral,happiness,neutral,admiration,mild,mild,0.6937344,0.15603656,0.4196241,17,False,False,True,False,Medium
Yes!,neutral,happiness,neutral,neutral,intense,neutral,0.38875687,0.44445112,0.46601844,4,False,True,False,False,Medium
Yes!,neutral,happiness,neutral,neutral,mild,neutral,0.38875687,0.44445112,0.46601844,4,False,True,False,False,Medium
Yes!,neutral,happiness,neutral,neutral,moderate,neutral,0.38875687,0.44445112,0.46601844,4,False,True,False,False,Medium
It's me!,neutral,neutral,neutral,neutral,intense,neutral,0.4994529,0.6625564,0.68890333,8,True,True,False,False,High
I'm so happy.,neutral,happiness,neutral,admiration,intense,mild,0.65169877,0.14964637,0.4222707,13,False,False,False,False,Low
Good!,neutral,happiness,neutral,admiration,mild,mild,0.7295793,0.16436857,0.43351015,5,False,False,True,False,Medium
And I got second!,neutral,happiness,neutral,neutral,moderate,neutral,0.4102322,0.26355264,0.34498152,17,False,True,False,False,Very Low
What? Second?,neutral,surprise,neutral,curiosity,moderate,mild,0.4965016,0.45738557,0.70247686,13,False,False,False,False,High
"Valerie, what are you doing to me, man?",neutral,surprise,neutral,confusion,moderate,mild,0.35652506,0.3539877,0.50637686,39,False,False,False,False,Low
You're taking my place.,neutral,anger,neutral,neutral,moderate,moderate,0.23352663,0.28762087,0.40302184,23,False,True,True,False,Very Low
It's supposed to be me.,neutral,neutral,neutral,neutral,moderate,neutral,0.5346654,0.8300559,0.73836917,23,True,True,False,False,Very High
"Oh, my God!",neutral,surprise,neutral,confusion,intense,moderate,0.24306566,0.17353891,0.4569023,11,False,False,False,False,Very Low
I'm in top five.,neutral,happiness,neutral,neutral,intense,mild,0.59959704,0.22859523,0.38844043,16,False,True,False,False,Low
"And I'm pretty happy that all the Filipino girls are, you know, in the top five.",neutral,happiness,neutral,admiration,moderate,mild,0.7759898,0.16137606,0.48065603,80,False,False,False,False,Medium
"So, watch out for the Philippines!",neutral,neutral,neutral,neutral,moderate,neutral,0.3840062,0.5920262,0.53967464,34,True,True,False,False,High
Whose name is on there?,neutral,happiness,neutral,curiosity,mild,mild,0.53499526,0.7967805,0.8129512,23,False,False,True,False,Very High
Mine?,neutral,surprise,neutral,curiosity,mild,mild,0.39669546,0.6626554,0.7901466,5,False,False,True,False,High
"Namita, you're not in.",neutral,fear,neutral,neutral,moderate,neutral,0.24735422,0.59416646,0.494771,22,False,True,False,False,Medium
"Oh, my God.",neutral,surprise,neutral,confusion,mild,moderate,0.247587,0.18909928,0.43442348,11,False,False,False,False,Very Low
"F**k me, man.",neutral,anger,neutral,disapproval,intense,moderate,0.27838105,0.20278363,0.49816096,13,False,False,False,False,Very Low
I didn't perform as how I wanted to or like how I would have.,neutral,sadness,neutral,disapproval,moderate,moderate,0.38285264,0.16623156,0.49414992,61,False,False,True,False,Low
"Okay, bye, girls.",neutral,neutral,neutral,neutral,mild,neutral,0.3529138,0.6194168,0.62487835,17,True,True,False,False,High
"Don't say that, no.",neutral,disgust,neutral,neutral,neutral,neutral,0.20592262,0.5146522,0.43214518,19,False,True,True,False,Low
Cindy Miao! Cindy Miao!,neutral,anger,neutral,neutral,moderate,mild,0.19140743,0.1737239,0.3817229,23,False,True,False,False,Very Low
Check your old self and step up with confidence.,neutral,happiness,neutral,neutral,moderate,mild,0.5565838,0.18757944,0.3565086,48,False,True,False,False,Low
Because you just might run into the new you.,neutral,neutral,neutral,neutral,moderate,mild,0.23951621,0.4164997,0.43537667,44,True,True,False,False,Low
"Love, Cindy Miao.",neutral,happiness,neutral,neutral,mild,neutral,0.48170757,0.33032614,0.3991971,17,False,True,False,False,Low
Is that makeover?,neutral,happiness,neutral,curiosity,mild,mild,0.56423134,0.8018033,0.828524,17,False,False,True,False,Very High
Who is that?,neutral,happiness,neutral,curiosity,mild,mild,0.51650506,0.78164953,0.8125225,12,False,False,True,False,Very High
It's either a makeover or a snake.,neutral,surprise,neutral,confusion,mild,mild,0.29735896,0.3266283,0.4738825,34,False,False,True,False,Low
It's something to do with a snake.,neutral,surprise,neutral,confusion,mild,mild,0.35199806,0.33687145,0.5093751,34,False,False,True,False,Low
"We're all speculating, like, what could it be?",neutral,surprise,neutral,curiosity,moderate,mild,0.45700315,0.61512995,0.76568645,46,False,False,False,False,High
But as a theme is expect the unexpected.,surprise,surprise,curiosity,neutral,mild,mild,0.24386872,0.5191357,0.38946295,40,True,False,True,False,Low
"I have no idea, but I'm excited to find out.",neutral,happiness,neutral,curiosity,moderate,mild,0.52975565,0.11386238,0.5377095,44,False,False,False,False,Low
"Welcome, ladies, to your first photo challenge.",neutral,happiness,neutral,neutral,moderate,mild,0.6204514,0.18100834,0.37655124,47,False,True,False,False,Low
It's all about high fashion and high energy.,neutral,happiness,neutral,neutral,moderate,mild,0.57495815,0.1321987,0.4216627,44,False,True,False,False,Low
And the theme is runaway model.,neutral,surprise,neutral,confusion,neutral,moderate,0.2836653,0.20659815,0.4129695,31,False,False,False,False,Very Low
"Yesterday, the challenge was a long marathon run,",neutral,happiness,neutral,neutral,neutral,neutral,0.40787116,0.31118986,0.35087898,49,False,True,True,False,Low
"Okay, let's do this.",neutral,neutral,neutral,neutral,moderate,neutral,0.52841824,0.73184896,0.7420889,20,True,True,False,False,High
"Congratulations, ladies,",neutral,happiness,neutral,admiration,moderate,mild,0.7399012,0.15230532,0.44300702,24,False,False,False,False,Medium
on making it to your first photo challenge.,neutral,happiness,neutral,neutral,moderate,mild,0.44611087,0.35422918,0.39146584,43,False,True,False,False,Low
Success on this competition,neutral,happiness,neutral,admiration,moderate,mild,0.7457663,0.16041014,0.4811702,27,False,False,False,False,Medium
almost guarantees you success in the industry.,neutral,happiness,neutral,neutral,moderate,mild,0.52159345,0.17183845,0.34484285,46,False,True,False,False,Low
So we want you excited.,neutral,happiness,neutral,admiration,moderate,mild,0.76583594,0.15353374,0.45071933,23,False,False,False,False,Medium
