text,true_emotion,pred_emotion,true_sub_emotion,pred_sub_emotion,true_intensity,pred_intensity,emotion_confidence,sub_emotion_confidence,intensity_confidence,text_length,emotion_correct,sub_emotion_correct,intensity_correct,all_correct,confidence_level
"So Pia walks out with six male models, which are like half naked",neutral,neutral,neutral,neutral,mild,neutral,0.20477024,0.5398166,0.40274206,64,True,True,False,False,Low
beautiful abs and I'm thinking,neutral,happiness,neutral,admiration,mild,mild,0.73438627,0.14593056,0.55103105,30,False,False,True,False,High
Damn,neutral,disgust,neutral,neutral,mild,moderate,0.27805313,0.2241656,0.36437348,4,False,True,False,False,Very Low
So ladies meet your first special guest of the competition,neutral,happiness,neutral,neutral,moderate,mild,0.65351075,0.19765812,0.47356242,58,False,True,False,False,Medium
Can't believe that Pia Wurtzbach is actually here,neutral,surprise,neutral,confusion,moderate,mild,0.6546206,0.5264614,0.58410007,49,False,False,False,False,High
They will be your co-stars for your first,neutral,happiness,neutral,neutral,neutral,mild,0.59291965,0.21930784,0.41740885,41,False,True,False,False,Low
Gorilla lingerie catwalk challenge and that's happening right now,neutral,happiness,neutral,neutral,moderate,moderate,0.32342348,0.21599428,0.37956724,65,False,True,True,False,Very Low
That's right girls you will be dressed in sexy lingerie as we set up a gorilla catwalk on this very bridge,neutral,happiness,neutral,neutral,moderate,moderate,0.38054055,0.15577884,0.40010256,106,False,True,True,False,Very Low
Usually I did better in runways and catwalk than Valerie,neutral,happiness,neutral,admiration,mild,mild,0.61836964,0.14854217,0.4487167,56,False,False,True,False,Low
So I'm confident in this challenge that I will win over her,neutral,happiness,neutral,optimism,moderate,mild,0.71793866,0.10155771,0.4098924,59,False,False,False,False,Low
Everyone looks really good in lingerie,neutral,happiness,neutral,admiration,mild,mild,0.78026545,0.21315274,0.5386972,38,False,False,True,False,High
So intimidating,neutral,fear,neutral,neutral,moderate,moderate,0.22998941,0.31532523,0.33380595,15,False,True,True,False,Very Low
"Hello girls, are you excited for your first challenge?",neutral,happiness,neutral,curiosity,mild,mild,0.7627546,0.16273904,0.5847944,54,False,False,True,False,High
When you walk out you have to choose one of the male models to be your co-star as you make your way down the runway,neutral,happiness,neutral,neutral,mild,moderate,0.35164368,0.26727444,0.362588,115,False,True,False,False,Very Low
"Then when you hit the end of the runway, you'll get another surprise",surprise,fear,surprise,neutral,moderate,moderate,0.3051251,0.14464346,0.43593553,68,False,False,True,False,Very Low
So make sure you put your best foot forward because this is the first time,neutral,happiness,neutral,optimism,moderate,mild,0.5903259,0.19785461,0.3962153,74,False,False,False,False,Low
"All right, I am scared I've never actually been on the runway so it's very nerve-wracking for me",fear,fear,nervousness,fear,intense,moderate,0.65218395,0.10043207,0.4042962,96,True,False,False,False,Low
If you feel a confident from the inside that's when you show it from the outside and that's what I want to do,neutral,happiness,neutral,curiosity,moderate,mild,0.64631,0.17753552,0.5454959,109,False,False,False,False,Medium
"Not bad, got a little bit of sass and attitude there our sweet Maureen",neutral,sadness,neutral,disapproval,mild,moderate,0.3587884,0.21506183,0.4039753,70,False,False,False,False,Very Low
Pleasantly surprised Valerie,surprise,surprise,surprise,neutral,mild,mild,0.3800996,0.13792302,0.38964757,28,True,False,True,False,Very Low
Really want to make an impression that me and Valerie we're different in our own ways,neutral,happiness,neutral,curiosity,moderate,mild,0.6609654,0.12907393,0.47373787,85,False,False,False,False,Medium
This is her twin right Veronica,neutral,neutral,neutral,neutral,mild,neutral,0.44978562,0.7214154,0.7113407,31,True,True,False,False,Very High
I like her walk a lot,neutral,happiness,neutral,gratitude,mild,mild,0.70229137,0.13769205,0.42458418,21,False,False,True,False,Medium
And her knees gorgeous,neutral,happiness,neutral,admiration,mild,mild,0.55884683,0.2588713,0.44033954,22,False,False,True,False,Medium
"My plan was to be myself, be really laid-back and show who I am.",neutral,fear,neutral,neutral,mild,moderate,0.33083904,0.2888551,0.3492896,64,False,True,False,False,Very Low
"Oh shit, what should I do, what should I do?",neutral,surprise,neutral,confusion,intense,mild,0.536854,0.17545836,0.39597744,44,False,False,False,False,Low
I just feel like I need to update this.,neutral,happiness,neutral,neutral,mild,mild,0.37291527,0.25710663,0.3879962,39,False,True,True,False,Very Low
"When I look around all of the girls, the girl who has the best body is me.",neutral,happiness,neutral,admiration,moderate,mild,0.7312888,0.15641923,0.43012685,74,False,False,False,False,Medium
"Oh, she's fierce.",happiness,fear,admiration,surprise,mild,moderate,0.32256073,0.0915255,0.42320642,17,False,False,False,False,Very Low
It's a bit too literal again with the car.,neutral,disgust,neutral,neutral,mild,neutral,0.40329796,0.35710433,0.41761878,42,False,True,False,False,Low
I'm gonna rock it out like Heidi Klum does on the runway.,neutral,anger,neutral,neutral,moderate,moderate,0.3024042,0.34091473,0.3746562,57,False,True,True,False,Very Low
"All the girls got good walks this year, I'm excited to see that.",neutral,happiness,neutral,gratitude,moderate,mild,0.73873734,0.14123522,0.45119807,64,False,False,False,False,Medium
Sweet.,neutral,happiness,neutral,admiration,mild,mild,0.7348704,0.17441824,0.5283825,6,False,False,True,False,High
You must be fierce to be fierce.,happiness,fear,admiration,neutral,mild,moderate,0.4489015,0.16533543,0.44449607,32,False,False,False,False,Very Low
Fierce.,happiness,neutral,admiration,neutral,mild,neutral,0.55385345,0.8210072,0.7859159,7,False,False,False,False,Very High
I love the action part.,neutral,happiness,neutral,gratitude,mild,mild,0.6224887,0.13751002,0.3862923,23,False,False,True,False,Low
"Oh my god, it's painful as hell.",neutral,fear,neutral,neutral,intense,moderate,0.39001632,0.10950553,0.35972682,32,False,True,False,False,Very Low
"Since I've done many runways, I feel like I have this down.",neutral,surprise,neutral,neutral,moderate,moderate,0.22219114,0.3089035,0.3427476,59,False,True,True,False,Very Low
Oh shit.,neutral,surprise,neutral,surprise,moderate,mild,0.45717406,0.18890001,0.3182753,8,False,False,False,False,Very Low
Well that was anywhere.,neutral,neutral,neutral,neutral,mild,neutral,0.504329,0.7841471,0.7632552,23,True,True,False,False,Very High
I was literally not expecting that.,neutral,sadness,neutral,neutral,moderate,neutral,0.5136236,0.258804,0.34793732,35,False,True,False,False,Low
"Not sure about her walk though, she's a bit clumpy.",neutral,disgust,neutral,neutral,mild,moderate,0.28899527,0.23286742,0.3957537,51,False,True,False,False,Very Low
But I like the attitude.,neutral,happiness,neutral,joy,mild,mild,0.7425811,0.10863235,0.49415812,24,False,False,True,False,Medium
"We have Clara. Oh my god, she's gorgeous.",neutral,happiness,neutral,admiration,moderate,mild,0.6978531,0.13952787,0.46097708,41,False,False,False,False,Medium
I don't really like her walk.,neutral,disgust,neutral,disapproval,mild,moderate,0.4368292,0.25971144,0.32187712,29,False,False,False,False,Very Low
Beautiful face.,neutral,happiness,neutral,admiration,mild,mild,0.77507555,0.15076411,0.4987292,15,False,False,True,False,High
Beautiful face.,neutral,happiness,neutral,admiration,moderate,mild,0.77507555,0.15076411,0.4987292,15,False,False,False,False,High
"Oh, I like that little wink at the end.",neutral,happiness,neutral,approval,mild,mild,0.6838419,0.1268381,0.4985174,39,False,False,True,False,Medium
I'm not sure about her walk.,neutral,surprise,neutral,confusion,mild,mild,0.6544347,0.5064927,0.48581824,28,False,False,True,False,High
She just looks like she's walking with her boyfriend down the catwalk.,neutral,anger,neutral,neutral,mild,moderate,0.33656007,0.194493,0.44556966,70,False,True,False,False,Very Low
I don't have so much time to change the clothes.,neutral,sadness,neutral,neutral,mild,neutral,0.3697349,0.41016775,0.42452142,48,False,True,False,False,Low
I wear the high heels and run like crazy.,neutral,anger,neutral,annoyance,moderate,moderate,0.38463074,0.12612154,0.4247313,41,False,False,True,False,Very Low
Because my heart has a little bit like sick.,neutral,sadness,neutral,neutral,mild,moderate,0.58978677,0.130495,0.3290379,44,False,True,False,False,Very Low
I cannot breathe when I run.,neutral,fear,neutral,neutral,moderate,neutral,0.3099112,0.3081186,0.40235728,28,False,True,False,False,Very Low
Oh my god.,neutral,surprise,neutral,surprise,mild,mild,0.51897264,0.18206644,0.32394812,10,False,False,True,False,Very Low
I cannot see anything. I don't get enough oxygen.,neutral,sadness,neutral,neutral,intense,neutral,0.38320434,0.36834598,0.3907944,49,False,True,False,False,Low
It's my time to find my second world.,neutral,surprise,neutral,neutral,moderate,moderate,0.34218764,0.2123466,0.33734462,37,False,True,True,False,Very Low
"If I don't finish this challenge, I will have to go home.",neutral,fear,neutral,neutral,moderate,moderate,0.3484862,0.29781058,0.4022196,57,False,True,True,False,Very Low
I need to do my challenge.,neutral,happiness,neutral,neutral,moderate,mild,0.508376,0.21152595,0.36418834,26,False,True,False,False,Low
I just try my best.,neutral,happiness,neutral,optimism,moderate,mild,0.59210455,0.18342495,0.38324845,19,False,False,False,False,Low
"Oh, damn girl.",neutral,anger,neutral,annoyance,moderate,moderate,0.39843008,0.1334182,0.38582385,14,False,False,True,False,Very Low
She's burning up that catwalk.,neutral,anger,neutral,neutral,moderate,moderate,0.3357892,0.16163506,0.45146996,30,False,True,True,False,Very Low
She's got a lot of attitude.,neutral,happiness,neutral,admiration,mild,mild,0.67388856,0.28751728,0.5619537,28,False,False,True,False,High
No way.,neutral,disgust,neutral,neutral,mild,neutral,0.2799,0.6365942,0.68601465,7,False,True,False,False,High
This is a challenge.,neutral,happiness,neutral,neutral,neutral,mild,0.62853295,0.18827967,0.45428318,20,False,True,False,False,Medium
This competition means a lot to me,neutral,happiness,neutral,admiration,moderate,mild,0.7528473,0.14339669,0.4539291,34,False,False,False,False,Medium
because I wanted to do something to get out of my comfort zone,neutral,happiness,neutral,optimism,moderate,moderate,0.3408139,0.17851004,0.44800717,62,False,False,True,False,Very Low
and prove myself and everyone that I can do it.,neutral,happiness,neutral,optimism,moderate,moderate,0.48666406,0.22062488,0.3596905,47,False,False,True,False,Low
"Usually, Veronika always do the runway better than me.",neutral,happiness,neutral,admiration,neutral,mild,0.703841,0.123547584,0.40959364,54,False,False,False,False,Low
"But this time, I will prove to Veronika that I can do better.",neutral,happiness,neutral,optimism,moderate,mild,0.6385092,0.15937443,0.40133673,61,False,False,False,False,Low
"Three years ago, I already tried to be here and I never give up.",neutral,sadness,neutral,neutral,intense,moderate,0.44371453,0.23600319,0.37319627,64,False,True,False,False,Very Low
"So, this is just a dream come true.",neutral,sadness,neutral,neutral,intense,mild,0.30805886,0.09206734,0.35716522,35,False,True,False,False,Very Low
"To win this, I'm just going to focus on myself.",neutral,happiness,neutral,neutral,moderate,moderate,0.37606207,0.22570723,0.36060596,47,False,True,True,False,Very Low
I'm going to give my best.,neutral,happiness,neutral,optimism,intense,mild,0.67116684,0.122769326,0.3999808,26,False,False,False,False,Low
My strategy for this competition is to be consistent in what I want,neutral,happiness,neutral,optimism,moderate,mild,0.67525786,0.16034527,0.4508943,67,False,False,False,False,Medium
I'm not just an ordinary girl.,neutral,sadness,neutral,neutral,moderate,neutral,0.3032693,0.46024516,0.523432,30,False,True,False,False,Medium
I think I have the potential and the body to be a great top model.,happiness,happiness,pride,admiration,moderate,mild,0.77396286,0.11597168,0.46959212,66,True,False,False,False,Medium
"Making it to this competition, it's a huge deal.",neutral,happiness,neutral,admiration,intense,mild,0.72824305,0.1643458,0.4766051,48,False,False,False,False,Medium
I wish to make it to the finish line and emerge first.,neutral,happiness,neutral,neutral,intense,neutral,0.41014647,0.3451492,0.39256352,54,False,True,False,False,Low
I think I deserve to be in Asia's Next Top Model,happiness,sadness,pride,neutral,moderate,moderate,0.38691798,0.23815517,0.43730402,48,False,False,True,False,Very Low
because I'm a very hardworking girl.,neutral,happiness,neutral,neutral,moderate,moderate,0.31699058,0.18541825,0.38521782,36,False,True,True,False,Very Low
I'm just going to put everything I have and nail it.,neutral,neutral,neutral,neutral,intense,neutral,0.3708986,0.6257744,0.621106,52,True,True,False,False,High
and prove to myself that I can make it in the modeling industry.,neutral,happiness,neutral,optimism,intense,mild,0.66869384,0.144338,0.43613395,64,False,False,False,False,Medium
Great job!,neutral,happiness,neutral,approval,mild,mild,0.7539801,0.14272344,0.50703835,10,False,False,True,False,High
I see the judges at the end of the runway.,neutral,neutral,neutral,neutral,moderate,neutral,0.4671742,0.6601966,0.6213715,42,True,True,False,False,High
I don't know what's going on in their head.,neutral,surprise,neutral,confusion,moderate,mild,0.7522727,0.5442521,0.6020552,43,False,False,False,False,Very High
I feel like I own it and I have a chance to win the challenge.,neutral,happiness,neutral,optimism,moderate,mild,0.68813205,0.115231425,0.41043013,62,False,False,False,False,Low
People talk about my heart is sick.,neutral,sadness,neutral,neutral,moderate,moderate,0.5247549,0.1378723,0.36542124,35,False,True,True,False,Very Low
I come here to win this competition.,neutral,happiness,neutral,approval,intense,mild,0.70824355,0.13148448,0.44203612,36,False,False,False,False,Medium
I think we got a good group of girls this year.,neutral,happiness,neutral,admiration,mild,mild,0.7720303,0.13944122,0.48861325,47,False,False,True,False,High
Yes! Yes!,neutral,neutral,neutral,neutral,intense,neutral,0.2795163,0.30576482,0.45301214,9,True,True,False,False,Very Low
"I see the pool and I'm like, I am in Bali.",neutral,neutral,neutral,neutral,intense,neutral,0.5801888,0.7792004,0.7545276,42,True,True,False,False,Very High
"It's so surreal being in this competition, staying in a house like this.",neutral,anger,neutral,neutral,moderate,moderate,0.21003984,0.13318576,0.47239366,72,False,True,True,False,Very Low
"Goodies! Oh my God, yes. Freestyle.",neutral,surprise,neutral,excitement,intense,mild,0.36534852,0.15837215,0.36227468,35,False,False,False,False,Very Low
We have all strong personalities.,neutral,happiness,neutral,admiration,neutral,mild,0.74821573,0.15170634,0.4945385,33,False,False,False,False,High
"So guys, this is the rowdy Malaysian.",neutral,neutral,neutral,neutral,mild,neutral,0.3217779,0.41572538,0.44895744,37,True,True,False,False,Low
I'm the nice one.,neutral,happiness,neutral,approval,mild,mild,0.7199586,0.15925588,0.5299404,17,False,False,True,False,High
It's good because we can talk to each other but it's bad at the same time,neutral,sadness,neutral,neutral,moderate,moderate,0.26847875,0.23917733,0.39681655,73,False,True,True,False,Very Low
I knew it!,neutral,surprise,neutral,neutral,moderate,mild,0.7012174,0.2168417,0.41726276,10,False,True,False,False,Medium
"If I talk to Veronica and then maybe after five minutes I talk to Valeria,",neutral,fear,neutral,neutral,mild,neutral,0.30187735,0.6068126,0.5426445,74,False,True,False,False,High
I cannot tell the difference.,neutral,surprise,neutral,confusion,mild,mild,0.5957426,0.39899743,0.4445819,29,False,False,True,False,High
It's just so awkward.,neutral,neutral,neutral,neutral,moderate,neutral,0.25337943,0.4553197,0.40821546,21,True,True,False,False,Low
"I mean, sorry, first day.",neutral,sadness,neutral,neutral,mild,neutral,0.51276696,0.25655124,0.36660725,25,False,True,False,False,Low
"Living with the other six girls, I don't know what to feel.",neutral,surprise,neutral,confusion,moderate,mild,0.7123129,0.5242039,0.5866196,59,False,False,False,False,Very High
I just hope that there's less drama.,neutral,sadness,neutral,neutral,neutral,moderate,0.2655766,0.29902413,0.35904762,36,False,True,False,False,Very Low
"I just hope for the best, I think.",neutral,happiness,neutral,optimism,neutral,mild,0.5173246,0.21364655,0.36511272,34,False,False,False,False,Low
Welcome to your new model house.,neutral,happiness,neutral,neutral,neutral,neutral,0.41127527,0.5217908,0.55251175,32,False,True,True,False,High
"As you're settling in, I must first explain to you how your scores work.",neutral,happiness,neutral,neutral,neutral,mild,0.40377888,0.3393198,0.48390582,72,False,True,False,False,Low
"In order to keep you on your toes throughout this competition,",neutral,happiness,neutral,neutral,mild,neutral,0.45080858,0.29444078,0.33831492,62,False,True,False,False,Low
each of you will earn a score after every challenge and photo shoot.,neutral,happiness,neutral,neutral,neutral,mild,0.6301338,0.17963871,0.4016,68,False,True,False,False,Low
"And at the end of every week, these two scores will be combined",neutral,happiness,neutral,neutral,neutral,neutral,0.4827528,0.32121965,0.36767846,63,False,True,True,False,Low
in order to determine who stays and who goes.,neutral,happiness,neutral,neutral,neutral,mild,0.41702175,0.42689344,0.4755209,45,False,True,False,False,Medium
"As you've all successfully completed your first challenge,",neutral,happiness,neutral,admiration,mild,mild,0.6805309,0.13160741,0.45950216,58,False,False,True,False,Medium
"Good luck, girls.",neutral,happiness,neutral,approval,neutral,mild,0.7007512,0.1585068,0.46538037,17,False,False,False,False,Medium
"Good luck, girls.",neutral,happiness,neutral,approval,mild,mild,0.7007512,0.1585068,0.46538037,17,False,False,True,False,Medium
Yes!,neutral,neutral,neutral,neutral,intense,neutral,0.33509636,0.36527762,0.51963687,4,True,True,False,False,Low
Yes!,neutral,neutral,neutral,neutral,mild,neutral,0.33509636,0.36527762,0.51963687,4,True,True,False,False,Low
Yes!,neutral,neutral,neutral,neutral,moderate,neutral,0.33509636,0.36527762,0.51963687,4,True,True,False,False,Low
It's me!,neutral,surprise,neutral,neutral,intense,neutral,0.4011554,0.19655947,0.32114896,8,False,True,False,False,Very Low
I'm so happy.,neutral,happiness,neutral,gratitude,intense,mild,0.68505144,0.16597627,0.4013678,13,False,False,False,False,Medium
Good!,neutral,happiness,neutral,approval,mild,mild,0.7034438,0.16210277,0.493927,5,False,False,True,False,Medium
And I got second!,neutral,neutral,neutral,neutral,moderate,neutral,0.25312307,0.3449245,0.41489807,17,True,True,False,False,Very Low
What? Second?,neutral,surprise,neutral,confusion,moderate,mild,0.755685,0.49926955,0.6558168,13,False,False,False,False,Very High
"Valerie, what are you doing to me, man?",neutral,surprise,neutral,confusion,moderate,mild,0.53709,0.40852714,0.53865147,39,False,False,False,False,High
You're taking my place.,neutral,neutral,neutral,neutral,moderate,neutral,0.3049512,0.60733306,0.60033643,23,True,True,False,False,High
It's supposed to be me.,neutral,surprise,neutral,neutral,moderate,mild,0.6403295,0.29711872,0.43624425,23,False,True,False,False,Medium
"Oh, my God!",neutral,surprise,neutral,surprise,intense,moderate,0.4562339,0.17469743,0.29207844,11,False,False,False,False,Very Low
I'm in top five.,neutral,neutral,neutral,neutral,intense,neutral,0.4842284,0.63770485,0.65225315,16,True,True,False,False,Very High
"And I'm pretty happy that all the Filipino girls are, you know, in the top five.",neutral,happiness,neutral,gratitude,moderate,mild,0.7374633,0.13833451,0.43016663,80,False,False,False,False,Medium
"So, watch out for the Philippines!",neutral,happiness,neutral,neutral,moderate,mild,0.585657,0.24666665,0.43500695,34,False,True,False,False,Medium
Whose name is on there?,neutral,surprise,neutral,curiosity,mild,mild,0.48886406,0.55798316,0.7912449,23,False,False,True,False,Very High
Mine?,neutral,surprise,neutral,confusion,mild,mild,0.74366444,0.48433676,0.6892989,5,False,False,True,False,Very High
"Namita, you're not in.",neutral,disgust,neutral,neutral,moderate,neutral,0.35020763,0.47574285,0.5644759,22,False,True,False,False,High
"Oh, my God.",neutral,surprise,neutral,surprise,mild,mild,0.48274168,0.17600796,0.2951506,11,False,False,True,False,Very Low
"F**k me, man.",neutral,anger,neutral,annoyance,intense,moderate,0.4266242,0.14629228,0.3656914,13,False,False,False,False,Very Low
I didn't perform as how I wanted to or like how I would have.,neutral,sadness,neutral,neutral,moderate,moderate,0.5443873,0.2056071,0.34879223,61,False,True,True,False,Low
"Okay, bye, girls.",neutral,neutral,neutral,neutral,mild,neutral,0.6280619,0.8314876,0.82241964,17,True,True,False,False,Very High
"Don't say that, no.",neutral,disgust,neutral,neutral,neutral,neutral,0.40016708,0.40993863,0.46132457,19,False,True,True,False,Medium
Cindy Miao! Cindy Miao!,neutral,surprise,neutral,excitement,moderate,moderate,0.29781523,0.20101179,0.2930184,23,False,False,True,False,Very Low
Check your old self and step up with confidence.,neutral,happiness,neutral,neutral,moderate,mild,0.43590558,0.32873783,0.35159305,48,False,True,False,False,Low
Because you just might run into the new you.,neutral,fear,neutral,neutral,moderate,moderate,0.32531875,0.36676306,0.41779158,44,False,True,True,False,Low
"Love, Cindy Miao.",neutral,happiness,neutral,approval,mild,mild,0.7171084,0.10102756,0.4367909,17,False,False,True,False,Medium
Is that makeover?,neutral,happiness,neutral,curiosity,mild,mild,0.4618898,0.65642774,0.8017882,17,False,False,True,False,Very High
Who is that?,neutral,surprise,neutral,curiosity,mild,mild,0.5998846,0.43001404,0.77262783,12,False,False,True,False,Very High
It's either a makeover or a snake.,neutral,surprise,neutral,neutral,mild,neutral,0.3478255,0.49975467,0.47242245,34,False,True,False,False,Medium
It's something to do with a snake.,neutral,surprise,neutral,neutral,mild,mild,0.29100987,0.36843315,0.42044637,34,False,True,True,False,Low
"We're all speculating, like, what could it be?",neutral,surprise,neutral,curiosity,moderate,mild,0.5560502,0.37654644,0.65777534,46,False,False,False,False,High
But as a theme is expect the unexpected.,surprise,happiness,curiosity,curiosity,mild,mild,0.5450143,0.25066072,0.5647677,40,False,True,True,False,Medium
"I have no idea, but I'm excited to find out.",neutral,fear,neutral,curiosity,moderate,mild,0.28498605,0.20402673,0.44758025,44,False,False,False,False,Very Low
"Welcome, ladies, to your first photo challenge.",neutral,happiness,neutral,neutral,moderate,neutral,0.49795845,0.37940383,0.42777184,47,False,True,False,False,Medium
It's all about high fashion and high energy.,neutral,happiness,neutral,admiration,moderate,mild,0.7323543,0.2680057,0.55991656,44,False,False,False,False,High
And the theme is runaway model.,neutral,happiness,neutral,neutral,neutral,mild,0.6007169,0.17938635,0.45408478,31,False,True,False,False,Low
"Yesterday, the challenge was a long marathon run,",neutral,happiness,neutral,neutral,neutral,mild,0.5458957,0.24813472,0.3647521,49,False,True,False,False,Low
"Okay, let's do this.",neutral,neutral,neutral,neutral,moderate,neutral,0.46734995,0.6484932,0.6812646,20,True,True,False,False,Very High
