text,true_emotion,pred_emotion,true_sub_emotion,pred_sub_emotion,true_intensity,pred_intensity,emotion_confidence,sub_emotion_confidence,intensity_confidence,text_length,emotion_correct,sub_emotion_correct,intensity_correct,all_correct,confidence_level
your superstar,neutral,happiness,neutral,admiration,moderate,mild,0.57582855,0.2045618,0.5629671,14,False,False,False,False,High
confidant the ever so graceful,neutral,happiness,neutral,admiration,moderate,mild,0.6488108,0.15315919,0.5510834,30,False,False,False,False,High
"It's Cindy she just walked across I was like, whoa",neutral,surprise,neutral,neutral,intense,mild,0.39754364,0.19224706,0.45902136,50,False,True,False,False,Low
"She is gorgeous. I'm like, yeah, she's from Thailand. She's happy. Hi",neutral,happiness,neutral,admiration,moderate,mild,0.6490519,0.16446848,0.52592844,69,False,False,False,False,High
So good to be back and I'm so excited to get to know each and every one of you beautiful ladies this season,neutral,happiness,neutral,admiration,intense,mild,0.65532875,0.11556732,0.48680475,107,False,False,False,False,High
It's all about celebrating,neutral,happiness,neutral,neutral,moderate,mild,0.3195514,0.30979276,0.45329213,26,False,True,False,False,Low
Individuality and bringing out the best of the uniqueness that we see in all of you. We're not just looking for a pretty face,neutral,sadness,neutral,disapproval,moderate,moderate,0.32970288,0.14989838,0.50096846,125,False,False,True,False,Very Low
We are looking for a supermodel a rising star someone who can set herself apart from the rest and stand out from the crowd,neutral,fear,neutral,neutral,moderate,moderate,0.3374595,0.1525608,0.46861413,122,False,True,True,False,Very Low
"99% I want to be the Asian list of model, but 100% I want to win",neutral,happiness,neutral,neutral,intense,mild,0.38924953,0.16786952,0.41010433,64,False,True,False,False,Very Low
14 beautiful women from all across Asia,neutral,happiness,neutral,admiration,neutral,mild,0.61156005,0.20117627,0.52453613,39,False,False,False,False,High
"So on that note ladies, welcome to Asia's next top model",happiness,happiness,excitement,neutral,moderate,mild,0.55744076,0.25490797,0.4856681,56,True,False,False,False,High
"So Pia walks out with six male models, which are like half naked",neutral,disgust,neutral,neutral,mild,mild,0.33964193,0.17807636,0.44658634,64,False,True,True,False,Very Low
beautiful abs and I'm thinking,neutral,happiness,neutral,admiration,mild,mild,0.5433572,0.16388974,0.527165,30,False,False,True,False,Medium
Damn,neutral,anger,neutral,disapproval,mild,moderate,0.3372372,0.20731632,0.40161178,4,False,False,False,False,Very Low
So ladies meet your first special guest of the competition,neutral,happiness,neutral,neutral,moderate,mild,0.6121292,0.2518962,0.53093994,58,False,True,False,False,High
Can't believe that Pia Wurtzbach is actually here,neutral,surprise,neutral,confusion,moderate,mild,0.2946975,0.39338952,0.43821564,49,False,False,False,False,Medium
They will be your co-stars for your first,neutral,happiness,neutral,neutral,neutral,mild,0.5587019,0.15051202,0.5368417,41,False,True,False,False,Medium
Gorilla lingerie catwalk challenge and that's happening right now,neutral,happiness,neutral,neutral,moderate,moderate,0.23330128,0.2418739,0.3963073,65,False,True,True,False,Very Low
That's right girls you will be dressed in sexy lingerie as we set up a gorilla catwalk on this very bridge,neutral,happiness,neutral,curiosity,moderate,moderate,0.28277227,0.10021319,0.4556484,106,False,False,True,False,Very Low
Usually I did better in runways and catwalk than Valerie,neutral,happiness,neutral,admiration,mild,mild,0.4832943,0.12179794,0.47536293,56,False,False,True,False,Low
So I'm confident in this challenge that I will win over her,neutral,happiness,neutral,optimism,moderate,moderate,0.37365505,0.16667634,0.4001139,59,False,False,True,False,Very Low
Everyone looks really good in lingerie,neutral,happiness,neutral,approval,mild,mild,0.6649167,0.15768437,0.5702088,38,False,False,True,False,High
So intimidating,neutral,fear,neutral,neutral,moderate,mild,0.27769408,0.2744352,0.33267576,15,False,True,False,False,Very Low
"Hello girls, are you excited for your first challenge?",neutral,happiness,neutral,curiosity,mild,mild,0.6453304,0.46800923,0.60306567,54,False,False,True,False,Very High
When you walk out you have to choose one of the male models to be your co-star as you make your way down the runway,neutral,happiness,neutral,curiosity,mild,mild,0.34050187,0.31014115,0.45212385,115,False,False,True,False,Low
"Then when you hit the end of the runway, you'll get another surprise",surprise,surprise,surprise,curiosity,moderate,moderate,0.27621418,0.18703263,0.43608418,68,True,False,True,False,Very Low
So make sure you put your best foot forward because this is the first time,neutral,happiness,neutral,neutral,moderate,mild,0.54096174,0.21791694,0.4762477,74,False,True,False,False,Medium
"All right, I am scared I've never actually been on the runway so it's very nerve-wracking for me",fear,fear,nervousness,annoyance,intense,moderate,0.44635665,0.082144275,0.40077436,96,True,False,False,False,Very Low
If you feel a confident from the inside that's when you show it from the outside and that's what I want to do,neutral,happiness,neutral,curiosity,moderate,mild,0.5526799,0.40123656,0.5760398,109,False,False,False,False,High
"Not bad, got a little bit of sass and attitude there our sweet Maureen",neutral,sadness,neutral,disapproval,mild,moderate,0.5230651,0.12817678,0.44044894,70,False,False,False,False,Low
Pleasantly surprised Valerie,surprise,surprise,surprise,confusion,mild,mild,0.5296618,0.15425809,0.41495225,28,True,False,True,False,Low
Really want to make an impression that me and Valerie we're different in our own ways,neutral,happiness,neutral,curiosity,moderate,moderate,0.33690825,0.20615844,0.4465972,85,False,False,True,False,Very Low
This is her twin right Veronica,neutral,happiness,neutral,neutral,mild,mild,0.24747674,0.39228377,0.46067306,31,False,True,True,False,Low
I like her walk a lot,neutral,happiness,neutral,admiration,mild,mild,0.681182,0.13860317,0.5547239,21,False,False,True,False,High
And her knees gorgeous,neutral,happiness,neutral,admiration,mild,mild,0.3823894,0.1944191,0.46319,22,False,False,True,False,Low
"My plan was to be myself, be really laid-back and show who I am.",neutral,fear,neutral,optimism,mild,moderate,0.5255964,0.14432114,0.48635584,64,False,False,False,False,Medium
"Oh shit, what should I do, what should I do?",neutral,surprise,neutral,confusion,intense,mild,0.52510005,0.4236647,0.46766448,44,False,False,False,False,High
I just feel like I need to update this.,neutral,fear,neutral,neutral,mild,moderate,0.45175958,0.19250683,0.41261077,39,False,True,False,False,Low
"When I look around all of the girls, the girl who has the best body is me.",neutral,happiness,neutral,admiration,moderate,moderate,0.4078445,0.14274378,0.482721,74,False,False,True,False,Low
"Oh, she's fierce.",happiness,surprise,admiration,surprise,mild,moderate,0.27500525,0.13274474,0.3635401,17,False,False,False,False,Very Low
It's a bit too literal again with the car.,neutral,disgust,neutral,disapproval,mild,moderate,0.40410838,0.28561768,0.45915976,42,False,False,False,False,Medium
I'm gonna rock it out like Heidi Klum does on the runway.,neutral,fear,neutral,neutral,moderate,moderate,0.43610683,0.11100539,0.44240162,57,False,True,True,False,Very Low
"All the girls got good walks this year, I'm excited to see that.",neutral,happiness,neutral,admiration,moderate,mild,0.6211219,0.101601996,0.47114867,64,False,False,False,False,Medium
Sweet.,neutral,happiness,neutral,admiration,mild,mild,0.61601245,0.16766442,0.5595778,6,False,False,True,False,High
You must be fierce to be fierce.,happiness,fear,admiration,neutral,mild,moderate,0.5223334,0.1481954,0.43547586,32,False,False,False,False,Low
I love the action part.,neutral,happiness,neutral,gratitude,mild,mild,0.6577173,0.121102035,0.5126124,23,False,False,True,False,High
You must do a runway and then go back with heels.,neutral,happiness,neutral,neutral,neutral,moderate,0.28310266,0.26896486,0.3659665,49,False,True,False,False,Very Low
"Oh my god, it's painful as hell.",neutral,sadness,neutral,sadness,intense,moderate,0.37666902,0.084249526,0.39891952,32,False,False,False,False,Very Low
"Since I've done many runways, I feel like I have this down.",neutral,fear,neutral,neutral,moderate,moderate,0.23919345,0.2475617,0.3836798,59,False,True,True,False,Very Low
Oh shit.,neutral,surprise,neutral,surprise,moderate,moderate,0.3098292,0.13694091,0.32303107,8,False,False,True,False,Very Low
Well that was anywhere.,neutral,neutral,neutral,neutral,mild,neutral,0.39951307,0.68242145,0.6560626,23,True,True,False,False,Very High
I was literally not expecting that.,neutral,sadness,neutral,neutral,moderate,moderate,0.4692697,0.15551852,0.38934886,35,False,True,True,False,Low
"Not sure about her walk though, she's a bit clumpy.",neutral,disgust,neutral,disapproval,mild,moderate,0.36874318,0.18702792,0.41667318,51,False,False,False,False,Very Low
But I like the attitude.,neutral,happiness,neutral,admiration,mild,mild,0.60653585,0.16075672,0.5683528,24,False,False,True,False,High
"We have Clara. Oh my god, she's gorgeous.",neutral,happiness,neutral,admiration,moderate,mild,0.386386,0.13047878,0.4226757,41,False,False,False,False,Very Low
I don't really like her walk.,neutral,disgust,neutral,disapproval,mild,moderate,0.49655938,0.3352072,0.3959758,29,False,False,False,False,Medium
Beautiful face.,neutral,happiness,neutral,admiration,mild,mild,0.64687115,0.18195246,0.5385056,15,False,False,True,False,High
Beautiful face.,neutral,happiness,neutral,admiration,moderate,mild,0.64687115,0.18195246,0.5385056,15,False,False,False,False,High
"Oh, I like that little wink at the end.",neutral,happiness,neutral,admiration,mild,mild,0.38660038,0.112197876,0.5026934,39,False,False,True,False,Low
I'm not sure about her walk.,neutral,surprise,neutral,confusion,mild,mild,0.39250454,0.39311782,0.3957919,28,False,False,True,False,Medium
She just looks like she's walking with her boyfriend down the catwalk.,neutral,disgust,neutral,neutral,mild,moderate,0.25672656,0.14473674,0.4560972,70,False,True,False,False,Very Low
I don't have so much time to change the clothes.,neutral,sadness,neutral,neutral,mild,moderate,0.436759,0.19041204,0.44754395,48,False,True,False,False,Low
I wear the high heels and run like crazy.,neutral,disgust,neutral,disapproval,moderate,moderate,0.33599487,0.114956155,0.40689486,41,False,False,True,False,Very Low
Because my heart has a little bit like sick.,neutral,sadness,neutral,sadness,mild,moderate,0.5838442,0.09030859,0.34535483,44,False,False,False,False,Low
I cannot breathe when I run.,neutral,sadness,neutral,neutral,moderate,moderate,0.36460352,0.13276598,0.40871075,28,False,True,True,False,Very Low
Oh my god.,neutral,surprise,neutral,surprise,mild,moderate,0.41773206,0.157726,0.32564038,10,False,False,False,False,Very Low
I cannot see anything. I don't get enough oxygen.,neutral,sadness,neutral,neutral,intense,moderate,0.35309172,0.14812493,0.45143226,49,False,True,False,False,Very Low
It's my time to find my second world.,neutral,fear,neutral,neutral,moderate,moderate,0.38207352,0.1223439,0.4661237,37,False,True,True,False,Very Low
"If I don't finish this challenge, I will have to go home.",neutral,fear,neutral,neutral,moderate,moderate,0.42853495,0.14101808,0.4684783,57,False,True,True,False,Low
I need to do my challenge.,neutral,fear,neutral,neutral,moderate,moderate,0.4685968,0.2030033,0.38424838,26,False,True,True,False,Low
I just try my best.,neutral,fear,neutral,neutral,moderate,neutral,0.3230985,0.28680724,0.33241516,19,False,True,False,False,Very Low
"Oh, damn girl.",neutral,anger,neutral,surprise,moderate,moderate,0.3206029,0.121939436,0.32673058,14,False,False,True,False,Very Low
She's burning up that catwalk.,neutral,fear,neutral,annoyance,moderate,moderate,0.4638983,0.112780266,0.41726986,30,False,False,True,False,Low
She's got a lot of attitude.,neutral,happiness,neutral,admiration,mild,mild,0.2948037,0.15559375,0.44058436,28,False,False,True,False,Very Low
No way.,neutral,disgust,neutral,neutral,mild,neutral,0.33620426,0.44231504,0.4650646,7,False,True,False,False,Medium
This is a challenge.,neutral,happiness,neutral,neutral,neutral,mild,0.47605112,0.29893765,0.39855582,20,False,True,False,False,Medium
This competition means a lot to me,neutral,happiness,neutral,admiration,moderate,moderate,0.28511587,0.08742127,0.52745926,34,False,False,True,False,Very Low
because I wanted to do something to get out of my comfort zone,neutral,fear,neutral,optimism,moderate,moderate,0.45446748,0.10987122,0.46993938,62,False,False,True,False,Low
and prove myself and everyone that I can do it.,neutral,happiness,neutral,neutral,moderate,mild,0.3220978,0.23566572,0.37283894,47,False,True,False,False,Very Low
"Usually, Veronika always do the runway better than me.",neutral,happiness,neutral,admiration,neutral,moderate,0.30174696,0.09808445,0.47025362,54,False,False,False,False,Very Low
"But this time, I will prove to Veronika that I can do better.",neutral,happiness,neutral,neutral,moderate,mild,0.3521585,0.23672938,0.39114505,61,False,True,False,False,Very Low
"Three years ago, I already tried to be here and I never give up.",neutral,sadness,neutral,neutral,intense,moderate,0.3438893,0.11530966,0.42332807,64,False,True,False,False,Very Low
"So, this is just a dream come true.",neutral,happiness,neutral,neutral,intense,mild,0.37877542,0.08810295,0.45978433,35,False,True,False,False,Very Low
"To win this, I'm just going to focus on myself.",neutral,fear,neutral,neutral,moderate,moderate,0.51143396,0.1580709,0.44992024,47,False,True,True,False,Medium
I'm going to give my best.,neutral,fear,neutral,neutral,intense,moderate,0.34118292,0.230885,0.3394844,26,False,True,False,False,Very Low
My strategy for this competition is to be consistent in what I want,neutral,fear,neutral,neutral,moderate,mild,0.32777986,0.25977823,0.38560194,67,False,True,False,False,Very Low
I'm not just an ordinary girl.,neutral,disgust,neutral,disapproval,moderate,mild,0.37812585,0.29133773,0.39118752,30,False,False,False,False,Low
I think I have the potential and the body to be a great top model.,happiness,happiness,pride,admiration,moderate,mild,0.59951586,0.14848466,0.47952074,66,True,False,False,False,Medium
"Making it to this competition, it's a huge deal.",neutral,happiness,neutral,admiration,intense,moderate,0.48244122,0.12743305,0.41174686,48,False,False,False,False,Low
I wish to make it to the finish line and emerge first.,neutral,fear,neutral,neutral,intense,neutral,0.3274539,0.3623327,0.41475627,54,False,True,False,False,Low
I think I deserve to be in Asia's Next Top Model,happiness,happiness,pride,neutral,moderate,mild,0.5662679,0.10079151,0.43309784,48,True,False,False,False,Low
because I'm a very hardworking girl.,neutral,happiness,neutral,admiration,moderate,mild,0.47606564,0.18314627,0.4527926,36,False,False,False,False,Medium
I'm just going to put everything I have and nail it.,neutral,fear,neutral,neutral,intense,moderate,0.46122605,0.15734051,0.47862282,52,False,True,False,False,Low
and prove to myself that I can make it in the modeling industry.,neutral,happiness,neutral,neutral,intense,mild,0.502328,0.13756663,0.46471053,64,False,True,False,False,Low
Great job!,neutral,happiness,neutral,admiration,mild,mild,0.62122226,0.13944797,0.50888157,10,False,False,True,False,High
I see the judges at the end of the runway.,neutral,fear,neutral,neutral,moderate,neutral,0.25851297,0.44949207,0.43176088,42,False,True,False,False,Medium
I don't know what's going on in their head.,neutral,surprise,neutral,confusion,moderate,mild,0.52500916,0.5071794,0.45532197,43,False,False,False,False,High
I feel like I own it and I have a chance to win the challenge.,neutral,happiness,neutral,optimism,moderate,moderate,0.34875754,0.16911033,0.4069502,62,False,False,True,False,Very Low
People talk about my heart is sick.,neutral,sadness,neutral,disappointment,moderate,moderate,0.5290218,0.08670526,0.40574384,35,False,False,True,False,Low
I come here to win this competition.,neutral,happiness,neutral,neutral,intense,mild,0.44123602,0.23470928,0.3557494,36,False,True,False,False,Low
I think we got a good group of girls this year.,neutral,happiness,neutral,neutral,mild,mild,0.659062,0.15683499,0.517278,47,False,True,True,False,High
Yes! Yes!,neutral,surprise,neutral,neutral,intense,mild,0.25777462,0.17738861,0.29203245,9,False,True,False,False,Very Low
"I see the pool and I'm like, I am in Bali.",neutral,happiness,neutral,neutral,intense,mild,0.3575386,0.3494519,0.47400358,42,False,True,False,False,Medium
"It's so surreal being in this competition, staying in a house like this.",neutral,disgust,neutral,admiration,moderate,mild,0.3336123,0.12695418,0.4243669,72,False,False,False,False,Very Low
"Goodies! Oh my God, yes. Freestyle.",neutral,surprise,neutral,surprise,intense,mild,0.34429437,0.09459843,0.4042468,35,False,False,False,False,Very Low
We have all strong personalities.,neutral,happiness,neutral,neutral,neutral,mild,0.56385,0.22688636,0.51542366,33,False,True,False,False,High
"So guys, this is the rowdy Malaysian.",neutral,disgust,neutral,neutral,mild,mild,0.31401736,0.113789134,0.3961889,37,False,True,True,False,Very Low
I'm the nice one.,neutral,happiness,neutral,approval,mild,mild,0.68471307,0.13813762,0.5669579,17,False,False,True,False,High
It's good because we can talk to each other but it's bad at the same time,neutral,sadness,neutral,neutral,moderate,moderate,0.38450518,0.12932846,0.45547366,73,False,True,True,False,Very Low
I knew it!,neutral,surprise,neutral,neutral,moderate,mild,0.56506616,0.13724394,0.35897917,10,False,True,False,False,Low
"They're twins, same personality.",neutral,happiness,neutral,neutral,neutral,mild,0.33374956,0.2520233,0.51508397,32,False,True,False,False,Low
"If I talk to Veronica and then maybe after five minutes I talk to Valeria,",neutral,fear,neutral,neutral,mild,neutral,0.2765754,0.56049186,0.53759736,74,False,True,False,False,High
I cannot tell the difference.,neutral,surprise,neutral,confusion,mild,mild,0.397342,0.38377512,0.41323584,29,False,False,True,False,Medium
It's just so awkward.,neutral,fear,neutral,neutral,moderate,moderate,0.4010899,0.18865773,0.42547393,21,False,True,True,False,Low
"I mean, sorry, first day.",neutral,sadness,neutral,disappointment,mild,moderate,0.5970446,0.08740683,0.36208314,25,False,False,False,False,Low
"Living with the other six girls, I don't know what to feel.",neutral,surprise,neutral,confusion,moderate,mild,0.41711834,0.42974874,0.43578044,59,False,False,False,False,High
I just hope that there's less drama.,neutral,fear,neutral,neutral,neutral,moderate,0.42392212,0.20617384,0.43824294,36,False,True,False,False,Low
"I just hope for the best, I think.",neutral,fear,neutral,neutral,neutral,mild,0.320847,0.26955235,0.32842526,34,False,True,False,False,Very Low
"Guys, send me an email.",neutral,fear,neutral,neutral,neutral,neutral,0.28813115,0.37400568,0.4065855,23,False,True,True,False,Low
Welcome to your new model house.,neutral,happiness,neutral,neutral,neutral,mild,0.4566003,0.46719116,0.41790843,32,False,True,False,False,High
"As you're settling in, I must first explain to you how your scores work.",neutral,happiness,neutral,curiosity,neutral,mild,0.5728996,0.6062454,0.5998717,72,False,False,False,False,Very High
"In order to keep you on your toes throughout this competition,",neutral,fear,neutral,neutral,mild,moderate,0.35968316,0.28867567,0.34926617,62,False,True,False,False,Low
each of you will earn a score after every challenge and photo shoot.,neutral,happiness,neutral,neutral,neutral,mild,0.52192444,0.18032455,0.42173696,68,False,True,False,False,Medium
in order to determine who stays and who goes.,neutral,happiness,neutral,neutral,neutral,mild,0.37264723,0.38252598,0.4332892,45,False,True,False,False,Medium
"As you've all successfully completed your first challenge,",neutral,happiness,neutral,neutral,mild,mild,0.5603036,0.19592881,0.44056347,58,False,True,True,False,Medium
here's where you stand at this point.,neutral,happiness,neutral,neutral,neutral,mild,0.3476745,0.43575293,0.4474255,37,False,True,False,False,Medium
"Good luck, girls.",neutral,happiness,neutral,neutral,neutral,mild,0.6605202,0.17567132,0.53095305,17,False,True,False,False,High
"Good luck, girls.",neutral,happiness,neutral,neutral,mild,mild,0.6605202,0.17567132,0.53095305,17,False,True,True,False,High
Yes!,neutral,fear,neutral,neutral,intense,neutral,0.2499133,0.22808424,0.33461243,4,False,True,False,False,Very Low
Yes!,neutral,fear,neutral,neutral,mild,neutral,0.2499133,0.22808424,0.33461243,4,False,True,False,False,Very Low
Yes!,neutral,fear,neutral,neutral,moderate,neutral,0.2499133,0.22808424,0.33461243,4,False,True,False,False,Very Low
It's me!,neutral,fear,neutral,neutral,intense,moderate,0.2596889,0.15601112,0.34088004,8,False,True,False,False,Very Low
I'm so happy.,neutral,happiness,neutral,gratitude,intense,mild,0.56110245,0.16369744,0.4308222,13,False,False,False,False,Medium
Good!,neutral,happiness,neutral,approval,mild,mild,0.6493912,0.12271027,0.5208441,5,False,False,True,False,High
And I got second!,neutral,fear,neutral,neutral,moderate,moderate,0.38840175,0.16542107,0.36089975,17,False,True,True,False,Very Low
What? Second?,neutral,surprise,neutral,confusion,moderate,mild,0.65695035,0.48138657,0.60938406,13,False,False,False,False,Very High
"Valerie, what are you doing to me, man?",neutral,surprise,neutral,confusion,moderate,mild,0.4990981,0.41031498,0.5415116,39,False,False,False,False,High
You're taking my place.,neutral,happiness,neutral,neutral,moderate,mild,0.251502,0.38600427,0.35016975,23,False,True,False,False,Very Low
It's supposed to be me.,neutral,surprise,neutral,neutral,moderate,mild,0.2919363,0.34485123,0.35695428,23,False,True,False,False,Low
"Oh, my God!",neutral,surprise,neutral,surprise,intense,moderate,0.3297639,0.13699059,0.31605116,11,False,False,False,False,Very Low
I'm in top five.,neutral,happiness,neutral,neutral,intense,moderate,0.3685337,0.28766948,0.33552274,16,False,True,False,False,Low
"And I'm pretty happy that all the Filipino girls are, you know, in the top five.",neutral,happiness,neutral,gratitude,moderate,mild,0.6526809,0.11422016,0.4905334,80,False,False,False,False,Medium
"So, watch out for the Philippines!",neutral,fear,neutral,neutral,moderate,moderate,0.35713437,0.20907335,0.33488858,34,False,True,True,False,Very Low
Whose name is on there?,neutral,happiness,neutral,curiosity,mild,mild,0.4940014,0.73122674,0.74104583,23,False,False,True,False,Very High
Mine?,neutral,surprise,neutral,curiosity,mild,mild,0.4738244,0.46858203,0.6809018,5,False,False,True,False,High
"Namita, you're not in.",neutral,disgust,neutral,disapproval,moderate,mild,0.52723944,0.3182632,0.37391067,22,False,False,False,False,Medium
"Oh, my God.",neutral,surprise,neutral,surprise,mild,moderate,0.36830848,0.14111328,0.33053884,11,False,False,False,False,Very Low
"F**k me, man.",neutral,anger,neutral,annoyance,intense,moderate,0.42922726,0.10201125,0.35133895,13,False,False,False,False,Very Low
I didn't perform as how I wanted to or like how I would have.,neutral,sadness,neutral,disapproval,moderate,moderate,0.53701913,0.12337524,0.4422785,61,False,False,True,False,Low
"Okay, bye, girls.",neutral,neutral,neutral,neutral,mild,neutral,0.55509835,0.71582717,0.7229334,17,True,True,False,False,Very High
"Don't say that, no.",neutral,disgust,neutral,disapproval,neutral,mild,0.5000156,0.28823176,0.35132742,19,False,False,False,False,Medium
Cindy Miao! Cindy Miao!,neutral,happiness,neutral,excitement,moderate,mild,0.3406419,0.15105097,0.3469252,23,False,False,False,False,Very Low
Check your old self and step up with confidence.,neutral,happiness,neutral,neutral,moderate,mild,0.5373791,0.23840116,0.47151998,48,False,True,False,False,Medium
Because you just might run into the new you.,neutral,happiness,neutral,neutral,moderate,moderate,0.29137495,0.1806633,0.42241952,44,False,True,True,False,Very Low
"Love, Cindy Miao.",neutral,happiness,neutral,admiration,mild,mild,0.65869445,0.14387982,0.5507989,17,False,False,True,False,High
Is that makeover?,neutral,happiness,neutral,curiosity,mild,mild,0.41748285,0.69972837,0.7204921,17,False,False,True,False,Very High
Who is that?,neutral,surprise,neutral,curiosity,mild,mild,0.43453074,0.559285,0.69732,12,False,False,True,False,Very High
It's either a makeover or a snake.,neutral,disgust,neutral,disapproval,mild,mild,0.5340457,0.2052689,0.456956,34,False,False,True,False,Medium
It's something to do with a snake.,neutral,disgust,neutral,disapproval,mild,mild,0.47148827,0.18031132,0.4511579,34,False,False,True,False,Low
"We're all speculating, like, what could it be?",neutral,surprise,neutral,curiosity,moderate,mild,0.46708998,0.4731175,0.6238256,46,False,False,False,False,High
But as a theme is expect the unexpected.,surprise,surprise,curiosity,confusion,mild,mild,0.30758062,0.18396097,0.4820853,40,True,False,True,False,Very Low
"I have no idea, but I'm excited to find out.",neutral,fear,neutral,confusion,moderate,moderate,0.30648932,0.16368236,0.4375884,44,False,False,True,False,Very Low
"Welcome, ladies, to your first photo challenge.",neutral,happiness,neutral,neutral,moderate,mild,0.5338507,0.3056301,0.4408496,47,False,True,False,False,High
It's all about high fashion and high energy.,neutral,happiness,neutral,admiration,moderate,mild,0.46275663,0.18638612,0.47079584,44,False,False,False,False,Medium
And the theme is runaway model.,neutral,happiness,neutral,neutral,neutral,mild,0.38071865,0.15659608,0.546336,31,False,True,False,False,Low
